feature,importance_mean,importance_std
NDVI_mean_2020_spring,0.002549906740211272,4.4025057209382366e-05
NDRE2_std_2020_summer,0.002379919894943424,0.00018750426298567958
B05_max_2020_autumn,0.0023521956142881217,0.00023592023771904465
TC_green_mean_2021_spring,0.002351431139630692,6.123133933997388e-05
B05_q25_2020_spring,0.0023455061340713255,5.836118439257753e-05
NDRE2_q25_2021_autumn,0.002247008300335085,0.00012071871951558979
B05_median_2021_spring,0.0022032956789482436,6.640760011449956e-05
NDVI_q25_2020_spring,0.001991093437866668,0.00012938939532457968
TC_bright_mean_2020_autumn,0.00195659519760553,0.0001407320433652408
B05_q25_2021_autumn,0.0019524443858448537,0.00019630191585533535
B05_max_2020_summer,0.0019388999865623073,0.00011861435357042172
NDTI_q25_2020_summer,0.0018474226204724387,8.174761476911374e-05
NDRE1_q25_2020_spring,0.0017966957026535797,0.0001162457611576192
B05_q75_2020_spring,0.0017714875270576174,0.0001779727489439519
NDRE2_median_2021_autumn,0.0017526027764433276,6.638558605501524e-05
NDTI_q25_2021_summer,0.0017108511691535193,3.4202462935865405e-05
NDRE2_q25_2020_spring,0.001690474213823956,0.0002506304452386686
NDVI_q25_2021_summer,0.0016599717602344688,0.00023718293409071914
TC_wet_std_2020_autumn,0.0016584807635923553,0.0001501976733843681
NDVI_q25_2021_spring,0.001651006716421081,6.50680472011249e-05
NDTI_mean_2020_spring,0.0016255836185566919,0.00012033571166651323
B05_q75_2021_summer,0.0016023468502015896,0.00010653439955490401
NDVI_mean_2021_spring,0.0015492458964433409,1.7796211727210868e-05
B06_q75_2020_summer,0.0015189107720247434,6.038310002960118e-05
SAVI_median_2020_autumn,0.0014971722994304344,3.353777232529022e-05
CRI1_q25_2021_spring,0.0014497313437078125,0.00016849353177627953
NDRE1_q25_2021_spring,0.0014485826821379149,0.0002948768513842544
NDVI_std_2021_spring,0.0014391438745949465,3.9158009412321745e-05
NDRE1_q75_2020_summer,0.0014105695813205754,0.00017039532637423463
CRI1_median_2020_summer,0.0014056553582673474,0.00011197809631161192
SAVI_median_2021_autumn,0.0013827100931040153,7.862900025676277e-05
NDTI_mean_2020_summer,0.0013308589484186673,6.903206742411454e-05
NDRE1_q25_2021_autumn,0.0013095410137669756,6.613697612485733e-05
CRI1_median_2021_spring,0.0013014187071095362,0.0001164832563884847
