feature,mean_abs_shap,shap_tree_cover,shap_grassland,shap_cropland,shap_built_up,shap_bare_sparse,shap_water
B05_median_2021_spring,0.000936475734141291,0.00063290830936253,0.00041801429525595535,0.003917371943448767,0.00047365542302892343,0.00015611663973974166,2.0787794011827997e-05
IRECI_mean_2020_autumn,0.0009282641870751184,0.0003070817383343659,0.00025247899444099265,0.00023085700432111812,0.0047597100026270265,1.5020719320650994e-05,4.4366634065566995e-06
NDRE2_median_2021_autumn,0.000882095833682419,0.0002334196788757953,0.0037030645658914967,0.0010152700214408703,0.00021608786314555208,0.00011175999209391978,1.297288064688038e-05
NDRE1_q25_2020_spring,0.0008793305639815496,0.0024581018064708375,0.000213626749335332,0.0016965881556601163,0.0008509713742733254,3.962781272151172e-05,1.706748542817448e-05
NDVI_q25_2020_summer,0.0008710945167561438,0.0029323972578371342,5.3877283174996926e-05,0.002012791082568855,0.00018997350533202158,3.196550971655982e-05,5.562461907296176e-06
NDRE1_q25_2020_autumn,0.0008593682892948742,0.003695061992260953,0.0007153420589366937,0.00017762772716621025,0.0005493028099294001,9.110675356916071e-06,9.764472119071576e-06
NDRE2_std_2020_summer,0.0008553983820410819,0.0005270179314179246,0.0003600160471191878,0.0007404564084844863,0.00298809441887263,4.5586997823727074e-05,0.00047121848852853563
NDTI_mean_2021_summer,0.0008465773188323268,0.00014205284707404542,0.0006876140487791756,0.00028952672281039543,0.0038477011233924966,0.00011016362841637357,2.4055425214747193e-06
IRECI_std_2020_summer,0.0008463904195932554,0.002901321685353693,0.0009228109277325089,0.0005333702623025778,0.0006804560782883443,2.7653243010840147e-05,1.2730320871567569e-05
B05_min_2021_spring,0.0008431470486836368,0.00030760854412035203,0.0008893991919436636,0.0004589373954782273,0.0029893302442130705,0.00010558787701427303,0.0003080190393322354
TC_bright_mean_2020_summer,0.000824283909922408,0.003194472518217243,0.0005599727694930743,0.0007651506975387818,0.0003531418844095305,2.7141922832884304e-05,4.582366704293443e-05
