feature,importance_mean,importance_std
B05_q75_2021_autumn,0.005385736624399821,0.0003664912822498319
B05_q25_2021_spring,0.005334377288818359,0.00034160300569234016
B03_median_2021_summer,0.005317429701487224,0.00019469603552099232
TC_bright_mean_2020_autumn,0.005308985710144043,0.0006438144287246826
B11_q75_2020_summer,0.005256811777750651,0.00020318036074867718
B02_mean_2020_summer,0.005160888036092122,0.0004433010156818838
B08_q75_2020_summer,0.005094985167185466,0.0009502019354904918
B05_q75_2020_autumn,0.0050285061200459795,0.000313544281282859
B05_q25_2021_autumn,0.005004266897837321,0.0004093541392857025
B04_q25_2020_autumn,0.004949589570363362,0.00024189609521643924
B04_max_2021_summer,0.0048541029294331866,0.001450384658484896
B05_mean_2021_summer,0.004844844341278076,0.0003897004035011766
B03_mean_2021_summer,0.004788120587666829,0.0008747024116777529
B02_q75_2020_summer,0.004665255546569824,2.4798731948955627e-05
LBP_u8_3_2020_autumn,0.004659771919250488,0.00019209473840413704
B11_q25_2020_spring,0.004623313744862874,0.00036517012941441853
B04_max_2020_spring,0.004534820715586345,0.0008311990880750812
B04_q25_2020_summer,0.004487812519073486,0.000241106218045817
B04_mean_2020_autumn,0.004481295744578044,0.00022010890691122182
B04_max_2021_autumn,0.0044383009274800616,0.00044608242604734366
TC_bright_mean_2020_summer,0.004322052001953125,0.00033423546775530346
B02_median_2020_summer,0.004320462544759114,0.0001653139332915737
B02_median_2021_spring,0.004274487495422363,0.00018487616653906403
B02_max_2020_autumn,0.004213412602742513,0.0004976076585503039
B02_median_2020_autumn,0.004150946935017903,0.00044113795667695594
B02_mean_2021_spring,0.004150132338205974,0.00034024174717789147
B05_median_2021_summer,0.00408633550008138,0.0005963952500932769
B11_q25_2020_summer,0.003921707471211751,0.00032172544908131123
NDRE1_std_2020_summer,0.003818054993947347,0.0003008560896872
B03_q25_2020_autumn,0.0037746429443359375,0.0003176960593070393
B05_mean_2020_autumn,0.00376586119333903,0.0007557404912861736
B02_q75_2020_autumn,0.0037621259689331055,0.00020613525668667526
B05_median_2020_spring,0.0037389000256856284,0.0003328772124150638
B12_std_2020_spring,0.003736257553100586,0.0009668498071980037
NDRE1_std_2021_summer,0.0037111242612202964,0.0010157487916139592
B04_q25_2021_autumn,0.0036788384119669595,0.0003177847944131746
NDRE1_std_2021_spring,0.0036787589391072593,0.000601331880668579
TC_bright_mean_2021_autumn,0.003546635309855143,0.0001570522959998496
NDVI_q75_2020_autumn,0.003458261489868164,0.00027238434882134076
LBP_u8_6_2020_summer,0.003455777963002523,0.00031821326639573406
B06_mean_2020_summer,0.003449122111002604,0.00026446111081702744
NDMI_std_2020_autumn,0.0034474730491638184,0.0009511338472959912
NDBI_std_2020_autumn,0.0033742189407348633,0.0003976611508749196
B08_median_2020_summer,0.003361860911051432,0.0005337356580149839
B05_min_2020_spring,0.003314197063446045,0.00022729618389161208
B06_median_2021_spring,0.0033131043116251626,0.0005709574135714163
B04_q25_2021_summer,0.003310859203338623,0.00041382460792995315
B04_mean_2021_autumn,0.0032949050267537436,0.00018120790582020995
NDBI_std_2021_summer,0.0032741030057271323,0.0008496920344488732
NDBI_std_2021_autumn,0.003234704335530599,0.00030838361584829355
B04_q75_2020_autumn,0.0032159884770711264,0.00029326087865564493
B05_max_2021_summer,0.0032036900520324707,0.000989475401506747
NDRE1_std_2020_autumn,0.003183603286743164,0.0006237782693787024
B08_q75_2020_autumn,0.0031833847363789878,0.0005142231548564873
B05_q25_2020_summer,0.0031509796778361,9.049658058034321e-05
B06_q75_2020_autumn,0.0031204024950663247,0.00019718708553401155
TC_wet_std_2020_spring,0.0031048456827799478,0.0011765004658781941
B02_mean_2020_autumn,0.0030990044275919595,0.0004459248971484547
B12_max_2021_summer,0.003080268700917562,0.00021111791476755639
TC_green_std_2020_spring,0.0030672152837117514,0.000808128747092898
B02_min_2021_summer,0.003052095572153727,0.000512656825843933
B03_q25_2020_summer,0.003046572208404541,2.4279852854301045e-05
LBP_entropy_2020_summer,0.003038326899210612,0.00024872090699091604
BSI_std_2020_autumn,0.003004948298136393,0.0004013767996710029
B05_median_2020_summer,0.002977152665456136,0.00018164803628311347
B11_q75_2020_autumn,0.0029523372650146484,0.00024188511239900856
NDRE2_q75_2021_summer,0.0029310385386149087,0.0003104840115118127
BSI_std_2021_spring,0.002906620502471924,0.00033339104885505774
BSI_std_2020_summer,0.0028554797172546387,0.00048069898350096394
B11_mean_2020_summer,0.0028000275293986,0.00044444305684258905
NDWI_q25_2021_summer,0.002787172794342041,0.0003142373266054323
B11_median_2021_spring,0.002781093120574951,0.00028157890710140413
