feature,tree_cover,grassland,cropland,built_up,bare_sparse,water,abs_mean
NDWI_median_2021_summer,0.015064865,-0.004735531,-0.0060638054,-0.013450486,0.002039839,0.0071548806,0.008084902
B07_std_2021_summer,-0.012143449,-0.006058289,0.022906408,-0.005768259,-0.00027558426,0.0013377778,0.008081628
NDRE2_mean_2021_summer,-0.017042931,-0.0024935747,0.009662471,0.014521727,-0.00048019466,-0.004166904,0.008061301
NBR_q25_2021_summer,0.0043165656,-0.0046263477,0.012585884,-0.01946968,7.423629e-05,0.0071199825,0.008032116
B12_median_2020_summer,0.00936719,-0.019502822,0.014628565,-0.003675503,-0.0005430527,-0.00027444764,0.007998596
NDVI_mean_2020_summer,0.016671916,-0.0060613453,0.0044320873,-0.017869417,0.0014407855,0.0013972741,0.007978804
NDWI_median_2020_spring,0.0024261803,-0.008457436,0.014889538,-0.015237661,-0.00018263875,0.0065595717,0.007958838
B04_median_2020_summer,0.0131239835,-0.016332325,0.0069684014,-0.007510309,0.002175118,0.0015796938,0.007948305
B02_q25_2021_summer,0.0010906692,0.0021043175,-0.020789953,0.020630276,-0.001173999,-0.0018771269,0.00794439
NDWI_q75_2020_spring,-0.0026659262,-0.005005299,0.012070381,-0.01575755,-0.00024550073,0.011602139,0.0078911325
B12_mean_2020_summer,0.007690831,-0.019031528,0.014114371,-0.004521737,0.00014193387,0.0016087058,0.007851518
BSI_median_2020_summer,-0.0022185622,0.006906309,0.016094292,-0.021121582,-0.0002001285,0.00053420017,0.007845846
NBR_median_2020_autumn,0.02065961,-0.007395312,-0.005521112,-0.01057665,0.00061669457,0.0022244405,0.007832304
SAVI_q75_2021_spring,0.009431993,-0.011641297,0.009925187,-0.010906284,-0.0008315228,0.0040126056,0.0077914814
B11_mean_2020_spring,-0.006218313,0.021497628,-0.016153162,-0.0006814365,-7.203206e-05,0.0016268771,0.0077082417
NDWI_median_2021_autumn,-0.0011682472,-0.0016695007,0.016560625,-0.020214807,0.0020175648,0.0044674743,0.0076830364
BSI_mean_2021_autumn,-0.01786187,0.0056048734,-0.003982113,0.014613366,-0.0011716102,0.0027951438,0.0076714964
B05_std_2021_summer,0.0025906325,-0.016927188,0.009777525,0.010617868,-7.506328e-05,-0.005979703,0.00766133
NDVI_q25_2020_autumn,0.004426264,-0.0017886407,0.015752124,-0.021179264,0.000643801,0.0021518408,0.007656989
NDVI_median_2020_summer,0.011767978,-0.004835141,0.008711269,-0.018130127,0.0013445753,0.0011274081,0.00765275
B07_mean_2021_spring,0.010964027,-0.021313077,0.003997261,0.007943081,-0.0005326499,-0.0010587515,0.0076348074
NDVI_q25_2020_spring,0.019278944,-0.009360569,-0.00491096,-0.008598467,0.0008469921,0.0027402379,0.007622695
B12_q75_2021_spring,-0.003835739,-0.010632994,0.019495536,-0.008160862,0.0011469541,0.0019803105,0.0075420663
TC_bright_std_2020_spring,0.017537039,-0.0064858543,-0.008887051,-0.0066450885,-0.0005478633,0.005028964,0.0075219763
B08_mean_2021_autumn,-0.01198743,0.014883667,-0.010532476,0.005038923,0.00031308338,0.0022924312,0.007508002
B03_median_2021_autumn,-0.014087033,0.017136013,0.0049762074,-0.0056546805,0.00027015863,-0.0026419298,0.0074610044
BSI_std_2021_summer,0.02074398,-0.005790566,-0.0028086968,-0.01316987,-0.00060141704,0.0016295951,0.0074573546
B02_q25_2020_spring,-0.0009961842,0.004269605,-0.016628552,0.01808916,-0.0017444559,-0.0029869932,0.007452492
NDWI_q25_2021_summer,0.008023607,0.0047225906,-0.016522173,-0.005726683,0.001882402,0.007620392,0.0074163075
B05_min_2021_summer,-0.013595408,0.018742193,-0.00834952,0.0026468716,0.00082152785,-0.00026197627,0.0074029155
B08_median_2021_autumn,-0.013978817,0.013542752,-0.008167309,0.0057785017,0.0007980666,0.002030028,0.007382579
B08_mean_2020_autumn,-0.009866577,0.011974464,-0.012199884,0.009880615,-7.909196e-05,0.00028984557,0.007381747
B08_std_2021_spring,0.0015029397,0.009148146,-0.01850526,0.01007813,0.0013793383,-0.0036033317,0.007369524
B11_q25_2020_summer,-0.009247879,0.016918058,-0.012657039,0.0034068294,-0.00020069124,0.0017837143,0.0073690354
NDRE1_q25_2020_spring,0.0015912652,0.00073849206,-0.017379994,0.019741777,-0.00033828334,-0.0043596425,0.0073582423
SAVI_std_2021_spring,-0.0043557286,-0.009552884,0.01372624,0.008091577,-0.0020659408,-0.0058447532,0.007272854
TC_bright_std_2021_summer,-0.0063284338,0.013978446,-0.0091313645,-0.006282127,0.0013209293,0.0064455746,0.0072478126
B03_q25_2020_summer,-0.015098276,0.016458903,0.003625565,-0.006397658,-0.00023708437,0.0016493488,0.007244473
B02_median_2021_summer,0.0015060419,0.0038987615,-0.019410694,0.01610049,-0.00042720124,-0.0016742513,0.007169573
B02_mean_2021_autumn,0.0086501315,-0.0024699226,-0.014737877,0.012852177,-0.0012658525,-0.0030210784,0.007166174
NDVI_q75_2021_autumn,0.01014742,-0.004070866,0.0078076287,-0.017401638,0.00060780894,0.0029069432,0.0071570505
B03_median_2020_spring,0.01931393,-0.018014548,0.0011398749,-0.0024011596,0.0010009193,-0.0010422812,0.0071521183
NDVI_mean_2021_summer,0.012543206,0.003815129,0.0035115287,-0.021440249,0.0005857883,0.0009863672,0.0071470444
B04_q75_2020_summer,0.015403589,-0.012116278,0.0020749134,-0.0092980685,0.0015205089,0.0024182624,0.007138603
NDBI_mean_2020_autumn,0.0026785755,-0.0044667874,-0.01204446,0.01844701,0.00028892752,-0.0048937695,0.0071365875
NDMI_mean_2020_autumn,-0.0026785166,0.004466793,0.012044353,-0.018446963,-0.0002889353,0.0048937765,0.007136556
NDWI_q25_2021_autumn,5.64971e-05,0.0008841135,0.011740577,-0.021306891,0.0011247243,0.0075160833,0.0071048145
NDWI_q75_2021_autumn,-0.009693362,0.003124566,0.013510257,-0.011574516,0.0009018496,0.0037330445,0.0070895986
B05_q25_2021_summer,-0.013581145,0.018880682,0.0023720781,-0.0061043636,-0.0005715999,-0.000998646,0.007084753
B04_min_2021_autumn,0.006515071,-0.006172882,0.012708718,-0.013720688,0.0019975274,-0.0013284821,0.0070738946
B02_median_2021_autumn,0.016804334,-0.006989525,-0.012145916,0.0038427678,0.00052834145,-0.0020459169,0.0070594675
B03_min_2021_autumn,-0.0065741264,-0.0044938456,0.01708814,-0.010103678,0.0005935604,0.0034873735,0.0070567876
B11_min_2021_summer,0.010753446,-0.005970551,0.010360961,-0.013919765,-0.0010602549,-0.00016937668,0.0070390594
NBR_q75_2021_autumn,0.01247313,-0.0011250576,0.0035470792,-0.019955767,0.0006119994,0.0044565583,0.007028265
B08_mean_2021_spring,-0.01415913,0.017885406,-0.0068058358,-9.569153e-05,8.2904226e-05,0.0031000804,0.0070215077
BSI_q25_2020_spring,0.011513379,-0.01285312,0.006949919,-0.007363537,-0.00081123476,0.002564631,0.007009303
B8A_median_2021_summer,0.005295234,-0.0059543634,0.015270263,-0.0130887525,0.0003315155,-0.0018584307,0.006966427
NDRE1_std_2021_spring,-0.0019790705,0.00078125455,0.020114388,-0.01700586,-0.00090121536,-0.0010072638,0.006964842
B08_q75_2021_autumn,-0.012268026,0.01071148,-0.0078063025,0.010086919,-1.8210552e-05,-0.00070920744,0.006933357
BSI_q25_2020_summer,-0.010746995,0.0027367605,0.017526934,-0.009715717,-0.00031405222,0.0005150909,0.0069259256
B08_mean_2020_spring,-0.012839129,0.01562001,-0.0057447567,-0.0021689632,0.00023938653,0.004890266,0.0069170855
B12_q25_2020_spring,-0.0018422712,-0.008166455,0.020235434,-0.010079347,-0.0006076072,0.000462693,0.0068989675
NBR_q25_2021_autumn,0.01239764,-0.0035565402,0.0037609707,-0.017148241,0.0011500489,0.0033767435,0.0068983645
B04_std_2020_spring,0.0080203535,-0.008244234,-0.012400409,0.009722127,0.0009695326,0.0019346813,0.0068818894
NDWI_std_2021_spring,-0.0032414556,0.008742597,-0.012778064,-0.004606294,0.0013943256,0.010489181,0.0068753194
SAVI_std_2020_spring,0.001255199,-0.011700124,0.011044468,0.008322167,-0.0011117306,-0.007811214,0.006874151
B02_q25_2021_spring,-0.0047358396,0.011416348,-0.013364604,0.009189141,-0.00090522907,-0.0016114681,0.006870439
B12_q75_2020_summer,0.0111212125,-0.018054258,0.008196531,-0.002508024,0.00029634536,0.00095147884,0.006854642
BSI_std_2021_autumn,0.016541934,0.003973042,-0.009371494,-0.010077399,-1.6804275e-05,-0.001054175,0.0068391412
B08_std_2021_autumn,0.010009288,-0.01156446,0.010483114,-0.0073829493,-0.0007275081,-0.00081712444,0.0068307403
B07_median_2021_spring,0.011103833,-0.019929955,0.0038670679,0.0047475263,-0.00055731967,0.000777591,0.0068305484
NDRE1_std_2021_autumn,-0.008652927,0.011050483,0.009202898,-0.010009425,0.00017579689,-0.00176633,0.006809643
NBR_median_2021_summer,0.00249403,-0.00212648,0.013802329,-0.01803952,-0.00023841656,0.0040928777,0.0067989416
B11_q75_2020_autumn,-0.013511777,0.01995286,-0.0057687354,-0.0011135817,0.00043678549,7.926067e-06,0.0067986115
NDWI_mean_2021_autumn,-0.012399644,0.00602915,0.005289831,-0.007946347,0.0004236307,0.008607016,0.0067826025
TC_wet_std_2021_summer,-0.002277958,-0.0059971623,0.01813764,-0.011579846,-0.00048580143,0.0022051584,0.006780594
NDRE1_median_2020_spring,-0.0010809123,0.0035189658,-0.015747305,0.0166774,0.0001049442,-0.003474446,0.006767329
NDWI_median_2021_spring,0.0018741206,-0.0022766802,0.014185341,-0.017982822,0.0002609078,0.0039326325,0.0067520845
B03_mean_2021_autumn,-0.013709526,0.01230626,0.007855317,-0.0023347395,6.204981e-05,-0.0041834917,0.0067418963
B07_q75_2021_spring,0.009516601,-0.019408314,0.008482378,0.0019262477,6.810298e-05,-0.00059045013,0.006665349
B08_q75_2020_spring,-0.013047101,0.01549965,-0.0064522983,0.0020494158,-0.00040833605,0.0023579414,0.0066357907
NDRE1_std_2020_summer,0.0014495722,-0.0034992434,0.018353045,-0.015867952,8.870752e-05,-0.00052543014,0.0066306577
B12_median_2021_summer,0.007947645,0.004077443,-0.019885117,0.003917422,0.0016614307,0.0022771633,0.006627703
B02_min_2021_summer,-0.0020640283,0.011386229,-0.014812926,0.007966699,-0.0029906773,0.00051564,0.0066227
NDWI_q25_2021_spring,0.0041708546,-0.00082657055,0.0064783744,-0.018953575,0.0007341899,0.0083911475,0.006592452
B06_std_2021_spring,-0.012283203,0.006574572,0.010557112,-0.0074374303,0.00047365576,0.0021149863,0.006573493
B04_min_2020_spring,-0.013999417,0.011292078,0.0077617774,-0.0053543714,-0.00035537017,0.00065560767,0.0065697697
BSI_q75_2020_summer,-0.0050096028,0.0039959913,0.014478361,-0.01445589,-0.00022538079,0.0012173818,0.006563768
NBR_q25_2020_autumn,0.015119533,-0.0034982779,-0.005550238,-0.010583909,0.00083725306,0.0036700063,0.006543203
B03_std_2021_summer,0.009974479,-0.0014687512,-0.012617586,0.0082934145,0.0013593059,-0.005540823,0.0065423925
NDVI_median_2021_summer,0.008476235,0.0021090803,0.0077196197,-0.019514155,-7.858884e-05,0.0012807611,0.0065297396
B11_mean_2020_summer,-0.007931666,0.014384086,-0.011109124,0.0043466287,-0.00051716395,0.0008260451,0.006519119
BSI_mean_2020_summer,-0.009810282,0.004393243,0.013019214,-0.00889946,-0.0008179584,0.0021137104,0.006508978
NDWI_mean_2021_summer,0.005100753,0.003590313,-0.019506002,0.00047500935,0.0012404161,0.009099032,0.006501921
B08_std_2021_summer,0.011137289,0.0012494628,-0.014949566,0.007112261,-0.00061382,-0.003936061,0.006499743
SAVI_median_2021_spring,0.011886403,-0.007685727,0.007085327,-0.011385384,-0.00039343885,0.0005003706,0.0064894413
B11_min_2021_spring,0.0062967585,0.00812315,-0.018915532,0.003110269,-0.0005126274,0.0019014606,0.006476632
NDBI_std_2020_summer,-0.01410118,0.0070599183,0.009582641,-0.0052367114,-4.4449476e-05,0.0027363144,0.0064602024
NDMI_std_2020_summer,-0.014099973,0.0070604184,0.009581701,-0.0052364254,-4.44119e-05,0.0027360276,0.0064598266
B02_std_2021_autumn,-0.013890393,0.012584117,0.006782257,-0.0048431717,-0.0005596274,-7.65352e-05,0.006456017
B08_median_2020_autumn,-0.007485479,0.009510646,-0.00968299,0.009056509,0.0007816387,-0.0021801095,0.006449562
NDVI_q25_2021_autumn,0.00951937,-0.0014616239,0.0069322004,-0.017807728,0.00030787807,0.002510828,0.006423271
B8A_std_2020_autumn,0.007460977,0.0021568732,-0.019267391,0.00817207,8.295361e-05,0.0013954227,0.0064226147
TC_wet_mean_2021_spring,-0.0058524283,-0.010218993,0.018880775,-0.0013317679,0.00035187716,-0.0018314251,0.00641121
B04_mean_2020_summer,0.012049242,-0.015873298,0.0039051555,-0.0033374398,0.0015926879,0.0016558792,0.006402284
B07_q25_2020_spring,-0.012600461,-0.005990792,0.018575849,-0.00027299012,-0.0003407484,0.0006314746,0.0064020525
B02_std_2021_spring,0.0009823192,-0.0045314515,0.018100787,-0.010728623,-0.0027326017,-0.001096266,0.006362008
B06_mean_2021_spring,-0.00805066,0.011427669,-0.008169803,0.007597307,-0.00018975962,-0.0026178674,0.0063421777
NBR_q75_2021_spring,0.0073263953,0.00947986,-0.015208808,-0.0038104649,0.00079154794,0.0014141797,0.006338543
NDRE2_std_2020_autumn,0.0030049654,0.005732591,-0.018098583,0.009679439,0.0005892242,-0.00090794655,0.0063354583
B02_q75_2021_autumn,0.006063126,-0.0015331316,-0.01241909,0.01294104,-0.0016679354,-0.0033870048,0.006335221
TC_green_mean_2021_autumn,-0.016789189,0.005244194,0.012342695,-0.0021582935,-1.30621365e-05,0.0013679896,0.0063192365
B11_median_2020_spring,0.0012295444,0.015312632,-0.014118651,-0.0044728233,-0.0003652055,0.0024134412,0.006318716
NDRE2_mean_2020_summer,-0.010958107,0.0014308282,-0.0065766037,0.017502904,-1.5273346e-05,-0.0013884042,0.00631202
TC_green_mean_2020_summer,-0.009864209,0.0018341861,0.016491499,-0.008476895,-0.00053983397,0.00054907677,0.006292617
B08_q25_2021_summer,-0.0064153383,0.012774311,-0.012383465,0.0033192418,-3.2242406e-05,0.0027418104,0.0062777344
NDVI_q75_2021_summer,0.008423053,0.006357296,0.0019114439,-0.018063676,-0.0007593995,0.0021435928,0.00627641
SAVI_std_2020_summer,-0.010921514,0.0059934673,-0.002329509,0.012813186,-0.00029910155,-0.005255304,0.00626868
B05_median_2021_summer,-0.014007265,0.009838005,0.0075103194,-0.0037522565,0.0014326165,-0.0010128117,0.0062588793
B07_q25_2021_spring,0.003983602,-0.018596668,0.008241408,0.0063465224,-0.00017176624,0.00020206817,0.0062570055
B12_std_2020_spring,0.002019072,0.004569705,-0.018762197,0.01125093,0.00040915917,0.00051248854,0.0062539256
B07_std_2021_spring,0.0070004044,-0.012472436,0.010328648,-0.005925458,-0.00030853093,0.0013768196,0.006235383
SAVI_std_2021_autumn,0.0027180878,-0.008284208,0.015790716,-0.0077151135,0.00017971426,-0.0026854102,0.006228875
SAVI_mean_2020_autumn,0.010813068,-0.010761999,0.007857276,-0.0076071336,-7.0533904e-05,-0.00021506785,0.006220847
NDVI_q25_2021_summer,0.007873906,0.00478384,0.00454228,-0.018016392,-0.0003464914,0.0011739002,0.006122802
B04_max_2021_summer,-0.004692646,-0.004318087,0.016908046,-0.007730864,-0.0015934862,0.001417503,0.006110105
SAVI_q25_2021_spring,0.01555136,-0.007961671,0.0024620716,-0.0098186005,0.00030365595,-0.00054294086,0.006106717
B05_q25_2020_autumn,0.011763901,-0.011787842,0.0051760892,-0.005346547,-0.0011880888,0.0013771973,0.0061066113
NDRE2_mean_2020_spring,-0.012874735,-0.0017598722,-0.0015134647,0.01831292,-9.1635855e-05,-0.0020676681,0.006103382
NDMI_mean_2021_spring,-0.008632617,-0.0016373206,0.017473195,-0.006985943,-0.0010488443,0.0008391423,0.0061028437
NDBI_mean_2021_spring,0.008632613,0.0016373217,-0.017473197,0.00698594,0.0010488447,-0.00083914195,0.0061028427
B04_median_2021_spring,0.0018211013,-0.0132293105,0.012249736,-0.005077196,0.0022272114,0.0020022471,0.006101134
SAVI_q25_2020_summer,0.01735337,-0.0074189887,-0.008831136,-0.001985436,0.0004045256,0.00047971812,0.006078862
BSI_q25_2021_autumn,-0.017806605,0.0025168401,0.0064331233,0.0052109757,-0.00037489872,0.004014057,0.006059416
NDMI_mean_2020_summer,-0.008076896,0.0063651106,0.011785421,-0.009266989,2.391229e-05,-0.0008350744,0.006058901
NDBI_mean_2020_summer,0.008076886,-0.0063651092,-0.011785423,0.009266993,-2.3912284e-05,0.0008350743,0.0060588997
TC_wet_std_2020_spring,0.012476578,-0.011868882,-0.0042198696,0.0056229904,-0.0003487762,-0.001662711,0.006033302
B11_median_2020_summer,-0.007222881,0.013013626,-0.0100629795,0.0046090456,-0.0008064808,0.00047119442,0.0060310345
B8A_q25_2021_summer,0.0030313614,-0.0042661936,0.015053308,-0.0119142635,-0.00016402567,-0.0017393768,0.006028088
B03_min_2020_autumn,-0.0009790113,-0.009427543,0.017512998,-0.0076360973,-3.531089e-06,0.0005349362,0.0060156863
B08_q25_2020_spring,-0.017987395,0.013445148,0.0014545727,0.000592562,0.00041985503,0.0020766854,0.005996037
