model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.7557585835456848,0.9194910526275635,3.3873889595270157,6.895778328180313,8.744225246168524,0.9327340126037598,0.8040482401847839,0.9208838939666748,0.9646995067596436,0.02695077657699585,0.8851648569107056,5.55594377219677,5.973466113209724,4.387720674276352,3.73007170855999,0.22213535849004984,0.4550151526927948,100.0,100.0,100.0,1.0,7.038229199451962e-08,bi_glcm_morph_plain_silu_L5_d1024_bn,1,v6,bi_glcm_morph,plain,silu,batchnorm,5,1024,wide,0.001,1083,561,65.1
model,0.7514168620109558,0.90581214427948,3.5733450204133987,7.326502352952957,8.356742196736896,0.9265207052230835,0.7538294792175293,0.9031438231468201,0.9636956453323364,0.0502205491065979,0.9110076427459717,5.8159239590168,6.610873341560364,4.631542041897774,3.7805896252393723,0.20280147437006235,0.3983731381595135,100.0,100.0,100.0,1.0,6.93952699748479e-08,bi_glcm_morph_plain_silu_L5_d512_bn,1,v6,bi_glcm_morph,plain,silu,batchnorm,5,512,v5_champion,0.001,1083,620,92.9
model,0.7105560898780823,0.9105959534645081,3.6330465227365494,7.411813735961914,8.502219732897697,0.9308202266693115,0.8030616641044617,0.9104884266853333,0.9520115852355957,-0.10909676551818848,0.7759655117988586,5.735271796584129,6.138258799910545,4.735178127884865,4.401371255517006,0.22240031976252794,0.565826054662466,100.0,100.0,100.0,1.0,6.927570694870155e-08,bi_glcm_morph_residual_silu_L10_d256_nonorm,1,v6,bi_glcm_morph,residual,silu,none,10,256,v5_champion,0.001,1083,543,147.1
model,0.7634034752845764,0.9196600914001465,3.372790291905403,6.897684186697006,8.392619432314156,0.9375219345092773,0.8064699172973633,0.917915940284729,0.9628912210464478,0.07849884033203125,0.8770433068275452,5.4217856377363205,5.906098335981369,4.460699483752251,3.770434856414795,0.20164763554930687,0.4761161282658577,100.0,100.0,100.0,1.0,7.025177239938785e-08,bi_glcm_morph_residual_silu_L12_d256_bn,1,v6,bi_glcm_morph,residual,silu,batchnorm,12,256,deep,0.001,1083,631,250.9
model,0.7598748207092285,0.9093475937843323,3.592165559530258,7.2704412043094635,8.635847045998297,0.934770405292511,0.7789174914360046,0.8989014029502869,0.9627719521522522,0.12323307991027832,0.8605924844741821,5.643731728196144,6.321721524000168,5.0412774085998535,3.833239898085594,0.2105113584548235,0.5025181453675032,100.0,100.0,100.0,1.0,6.966352827930677e-08,bi_glcm_morph_residual_silu_L16_d256_bn_lr0.0005,1,v6,bi_glcm_morph,residual,silu,batchnorm,16,256,deep,0.0005,1083,666,331.9
model,0.7558343410491943,0.9176376461982727,3.477790951728821,6.976725906133652,8.687527613715885,0.9327332377433777,0.801066517829895,0.9173116683959961,0.9636166095733643,0.0424504280090332,0.8777579069137573,5.55567741394043,6.275555491447449,4.629193991422653,3.7200652062892914,0.21181448828428984,0.47446275129914284,100.0,100.0,100.0,1.0,7.06970695318887e-08,bi_glcm_morph_residual_silu_L20_d256_bn_lr0.0005,1,v6,bi_glcm_morph,residual,silu,batchnorm,20,256,deep,0.0005,1083,675,411.6
model,0.7634773254394531,0.9125580191612244,3.55738066136837,7.136022299528122,8.754984906617093,0.925384521484375,0.7980308532714844,0.9092849493026733,0.9611746668815613,0.08432620763778687,0.902597963809967,5.96824511885643,6.047755107283592,4.7055307775735855,3.9758123457431793,0.21853332873433828,0.42841630056500435,100.0,100.0,100.0,1.0,7.035704641111806e-08,bi_glcm_morph_plain_silu_L5_d2048_bn_lr0.0005,1,v6,bi_glcm_morph,plain,silu,batchnorm,5,2048,wide,0.0005,1083,604,104.9
model,0.7512712478637695,0.9117100238800049,3.5258088260889053,7.194270938634872,8.68852170740682,0.9327245354652405,0.7844681143760681,0.9069228172302246,0.9615874886512756,0.046747565269470215,0.8751049041748047,5.655432492494583,6.18087574839592,4.7694131731987,3.829309716820717,0.2204508287832141,0.4993854556232691,100.0,100.0,100.0,1.0,6.948480546498104e-08,bi_glcm_morph_residual_silu_L10_d1024_bn_lr0.0005,1,v6,bi_glcm_morph,residual,silu,batchnorm,10,1024,deep+wide,0.0005,1083,605,237.5
model,0.756260871887207,0.9165314435958862,3.4703154116868973,7.024868577718735,8.568619642762629,0.9311757683753967,0.7934831976890564,0.9185404181480408,0.9640588760375977,0.06258296966552734,0.8676533102989197,5.73403462767601,6.2313660979270935,4.378647729754448,3.733806684613228,0.22775100078433752,0.5162941757589579,100.0,100.0,100.0,1.0,6.925434092863725e-08,bi_glcm_morph_residual_silu_L11_d1024_bn_lr0.0005,1,v6,bi_glcm_morph,residual,silu,batchnorm,11,1024,deep+wide,0.0005,1083,636,253.3
model,0.7523655295372009,0.9111977815628052,3.513086214661598,7.213392853736877,8.455191907253058,0.9308265447616577,0.7796148061752319,0.9093464016914368,0.9614201784133911,0.057569146156311035,0.8753477334976196,5.681664124131203,6.267012655735016,4.633628949522972,3.825623542070389,0.19170098239555955,0.47886865213513374,100.0,100.0,100.0,1.0,7.029811399661412e-08,bi_glcm_morph_residual_silu_L12_d1024_bn_lr0.0005,1,v6,bi_glcm_morph,residual,silu,batchnorm,12,1024,deep+wide,0.0005,1083,641,280.1
