model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,run_name,fold,stage,model_type,feature_set,n_features,elapsed_s,top10_features,mlp_winner_r2
model,0.6717783692645494,0.832122629547747,4.432242490110761,9.772103164248373,5.559093259673093,0.876572647761975,0.5977688762088245,0.8134863735453751,0.9240259251106399,-0.00600722512625218,0.8248236180865813,7.122396738400074,7.590676135772702,6.215345411325819,5.024625592901443,0.1376843279540271,0.5027267343105405,100.0,100.0,100.0,1.0,1.3012994748976726e-16,extratrees_500_third_v5_glcm_lbp,1,v8,extratrees,v5_glcm_lbp,924,105.4,NBR_q25_2021_summer; B03_min_2021_summer; B03_min_2021_autumn; NBR_q25_2020_summer; NDVI_q25_2021_summer; NDVI_q25_2021_autumn; B08_min_2021_summer; NBR_mean_2021_summer; NDWI_q75_2021_summer; B02_mean_2021_summer,0.7871481657028199
model,0.6626711704028398,0.8258064221101126,4.51139576677734,10.017573728735657,5.600480998497881,0.8606948732512967,0.6347063445290733,0.7950314849988191,0.9206500230020003,-0.005780770891907094,0.7707250675276108,7.38312823756844,7.325006724671598,6.5982781045597125,5.072788944258457,0.13773504590825097,0.5514375436976365,100.0,100.0,100.0,1.0,1.332113422983371e-16,rf_500_third_v5_glcm_lbp,1,v8,rf,v5_glcm_lbp,924,420.9,B04_mean_2021_summer; B02_mean_2021_summer; B04_q75_2021_summer; B04_mean_2021_autumn; TC_wet_mean_2020_autumn; B06_mean_2020_autumn; B03_min_2021_autumn; B06_mean_2021_autumn; B03_min_2021_summer; B04_min_2021_summer,0.7871481657028199
model,0.6559081186984094,0.8222420366484935,4.638783120386261,10.08726832166389,5.747035272640433,0.8724245017054533,0.5564347734201192,0.8121895157143929,0.9165506299457664,-0.006102701616585993,0.7839519930211637,7.406602755700758,8.07169548347501,6.315488963641408,5.327373335473328,0.1377437177475796,0.5737944662794909,100.0,100.0,100.0,1.0,1.3046104742488515e-16,extratrees_1000_v5_glcm_lbp,1,v8,extratrees,v5_glcm_lbp,924,24.9,NDVI_mean_2020_summer; BSI_q75_2020_autumn; NBR_mean_2021_autumn; NBR_q25_2021_autumn; NDVI_range_2021_autumn; GLCM_NDVI_homogeneity_2021_summer; NDMI_q25_2021_summer; B03_min_2021_summer; GLCM_NDVI_dissimilarity_2021_summer; NBR_q25_2021_summer,0.7871481657028199
model,0.6183123920939354,0.8146344608252402,4.728598460949474,10.540108713330671,5.217674328420316,0.8453342143073962,0.5843852045007414,0.823751289762648,0.9010711438626904,-0.005895381733991956,0.5612278818639986,8.00596862065133,7.716716797167546,6.047725031592558,5.706796535443105,0.13769225701587318,0.756691523826476,100.0,100.0,100.0,1.0,1.2648749042499676e-16,catboost_deeper_v5_glcm_lbp,1,v8,catboost,v5_glcm_lbp,924,1021.4,TC_wet_mean_2020_autumn; B02_max_2021_summer; B03_min_2020_autumn; B03_min_2021_autumn; GLCM_NDVI_contrast_2021_summer; TC_wet_mean_2020_summer; B03_min_2021_summer; B06_max_2021_autumn; B08_min_2021_summer; B05_min_2021_autumn,0.7871481657028199
model,0.5924561978474839,0.8788614885979834,2.2387988732641135,6.10183115961155,3.059930290973221,0.9161708894777254,0.6875788215548417,0.43694797446364986,0.8924019947014746,-0.003676898979339427,0.6253144058667657,5.207514609008134,2.6536212742843497,0.3767102638409191,4.777020208109437,0.2665255367344237,0.15140134760756765,100.0,100.0,100.0,1.0,1.5331216196456682e-16,extratrees_500_v5_glcm_lbp,2,v8,extratrees,v5_glcm_lbp,924,13.3,B03_min_2020_summer; GLCM_NDVI_homogeneity_2021_summer; NDWI_q75_2020_summer; B03_min_2020_autumn; NDVI_mean_2020_summer; NBR_q25_2021_autumn; B08_min_2021_summer; B03_min_2021_summer; TC_wet_mean_2020_autumn; BSI_q75_2021_summer,0.7871481657028199
model,0.6049505594279335,0.8873529720317276,2.142918961704745,5.905507596686415,3.03843941880452,0.922812401776769,0.6997472523141368,0.448223294612774,0.9020601644059805,-0.005034789017330565,0.6618950324754894,4.9490707216937,2.5952225003585765,0.3708727888956125,4.533438013100078,0.26735725330179366,0.14155249287881108,100.0,100.0,100.0,1.0,1.5353813976972383e-16,rf_500_v5_glcm_lbp,2,v8,rf,v5_glcm_lbp,924,35.5,B02_max_2021_summer; TC_green_std_2021_summer; B08_min_2020_autumn; B02_mean_2020_autumn; TC_wet_mean_2020_autumn; B08_min_2021_summer; NDRE2_std_2021_summer; B03_min_2020_autumn; B06_mean_2020_autumn; B06_mean_2021_autumn,0.7871481657028199
model,0.6320425647398286,0.8724094692194864,2.33470101779077,6.119435047106845,2.9113574397937527,0.8987855367286646,0.7096554636347028,0.6612759495385314,0.8884034017353135,-0.011207641664474854,0.6453426784663658,5.666399226209985,2.5652221139715903,0.31027535817126095,5.048969439819037,0.2713683728318264,0.1459715957409168,100.0,100.0,100.0,1.0,1.2800614418569082e-16,catboost_1000_v5_glcm_lbp,2,v8,catboost,v5_glcm_lbp,924,206.5,B03_min_2020_autumn; TC_wet_mean_2020_autumn; B02_max_2021_summer; TC_bright_mean_2021_autumn; TC_green_std_2021_summer; B03_min_2021_summer; TC_wet_mean_2021_autumn; GLCM_NDVI_homogeneity_2020_summer; TC_bright_mean_2020_summer; B08_min_2020_summer,0.7871481657028199
model,0.6255345764720897,0.8928690492411906,2.0913314298950505,5.7470122872949645,2.9648979047784394,0.926176663598315,0.7131424976084062,0.5382216998370075,0.906817606964821,-0.005848955536355005,0.6746979463605451,4.821349914549149,2.546517253052751,0.344331693960474,4.425866746015274,0.2686410520819706,0.14128191971080412,100.0,100.0,100.0,1.0,1.608892132924699e-16,extratrees_500_third_v5_glcm_lbp,2,v8,extratrees,v5_glcm_lbp,924,102.3,B08_min_2020_autumn; NDVI_q25_2021_autumn; B03_min_2020_autumn; B08_min_2020_summer; B08_min_2021_summer; NDWI_q75_2021_summer; NDVI_q25_2021_summer; NBR_q25_2021_summer; B03_min_2021_autumn; TC_wet_mean_2020_autumn,0.7871481657028199
model,0.5986814638618326,0.8917482819826926,2.076861776554902,5.8251091695337465,2.9876024154496057,0.9261329036896542,0.6974444713629375,0.3837929362184226,0.9104545992890156,-0.008479783732344037,0.682743656343562,4.778721313505369,2.5706130870481263,0.38749978437761623,4.314347917358778,0.26882040801491935,0.14116814902475727,100.0,100.0,100.0,1.0,1.6353822653639234e-16,rf_500_third_v5_glcm_lbp,2,v8,rf,v5_glcm_lbp,924,370.5,B02_max_2021_summer; B03_min_2020_autumn; TC_green_std_2021_summer; B02_mean_2021_summer; B08_min_2020_autumn; B08_min_2021_summer; B08_min_2020_summer; B03_min_2020_summer; B04_mean_2021_summer; B03_min_2021_autumn,0.7871481657028199
model,0.5971649363262923,0.8794547312180411,2.232631810094114,6.080541807217536,3.056620817184504,0.9164263765090435,0.689461503829919,0.4557010271073769,0.8927097457889598,-0.0021611635650555794,0.6308521282877118,5.190110626072789,2.6419867593714943,0.37644216413502235,4.769876053650199,0.2663600240088272,0.1510152333264103,100.0,100.0,100.0,1.0,1.6469692887049787e-16,extratrees_1000_v5_glcm_lbp,2,v8,extratrees,v5_glcm_lbp,924,25.5,GLCM_NDVI_homogeneity_2021_summer; B03_min_2020_summer; B03_min_2020_autumn; B03_min_2021_autumn; GLCM_NDVI_dissimilarity_2021_summer; B08_min_2021_summer; NDVI_mean_2020_summer; B03_min_2021_summer; NBR_q25_2021_autumn; TC_wet_mean_2020_autumn,0.7871481657028199
model,0.6287606249350562,0.8865907567933545,2.177208778617018,5.867423091598865,2.871781333667144,0.9166605406471635,0.7064359759399543,0.599567497125738,0.9034770924855101,-0.0003868616196356367,0.6468095050317576,5.15486226558034,2.566245781083139,0.32639957368672284,4.598868636546187,0.26836267139924297,0.14851374340645623,100.0,100.0,100.0,1.0,1.3036462862188509e-16,catboost_deeper_v5_glcm_lbp,2,v8,catboost,v5_glcm_lbp,924,1026.8,B03_min_2020_autumn; B02_max_2021_summer; TC_wet_mean_2020_autumn; TC_bright_mean_2021_autumn; B03_min_2021_autumn; TC_green_std_2021_summer; B03_min_2020_summer; B08_min_2021_summer; TC_wet_mean_2021_autumn; NDWI_q75_2021_summer,0.7871481657028199
model,0.6016433171661976,0.7108092950631839,6.01146787238927,12.519369961081853,6.285536005879003,0.8408020362118674,0.6768260672029192,0.6004168231493618,0.7435476081014004,0.13751169063791813,0.6107556776938816,6.79279156777362,8.231266045820114,10.409465221421215,10.020740830412155,0.09885692214011098,0.5156866467684195,100.0,100.0,100.0,1.0,1.2767769317848823e-16,extratrees_500_v5_glcm_lbp,3,v8,extratrees,v5_glcm_lbp,924,13.1,BSI_q75_2020_autumn; NDVI_mean_2020_summer; NDVI_mean_2020_autumn; NBR_q25_2021_autumn; NBR_mean_2021_autumn; NDVI_q25_2021_spring; NDRE1_q25_2021_spring; NDBI_q75_2020_summer; NBR_q25_2020_summer; GLCM_NDVI_homogeneity_2021_autumn,0.7871481657028199
model,0.6184791163653448,0.7303314941831807,5.809534380087172,12.118783947199956,6.180745255002227,0.835549143643865,0.6973307320741833,0.6323179004374143,0.7673435536437723,0.10822483607043054,0.6701085323225655,6.787408717668613,7.964569964496205,10.025965513965344,9.50680274446591,0.09978832613691518,0.47267101379006693,100.0,100.0,100.0,1.0,1.2613022713944042e-16,rf_500_v5_glcm_lbp,3,v8,rf,v5_glcm_lbp,924,41.2,B02_max_2021_summer; NDVI_q25_2021_summer; NDWI_q75_2020_spring; NBR_mean_2021_summer; NBR_q25_2021_summer; NDVI_mean_2021_summer; NDVI_q25_2021_autumn; B04_mean_2021_autumn; NDWI_q75_2021_summer; TC_green_mean_2021_summer,0.7871481657028199
model,0.5964341800600222,0.7416305110993637,5.626342244831777,12.160534585436944,5.598415406104197,0.7933553370762114,0.6363693632389682,0.7137317950713817,0.7891738685043572,0.17560463512820879,0.47037008134115676,7.686046943163409,7.940714468903212,8.23245917201734,9.22294816139221,0.09746335746128554,0.578421366053228,100.0,100.0,100.0,1.0,1.2235525483888714e-16,catboost_1000_v5_glcm_lbp,3,v8,catboost,v5_glcm_lbp,924,205.2,TC_wet_mean_2020_autumn; B03_min_2020_autumn; B08_min_2020_spring; B04_mean_2021_summer; B02_max_2021_summer; B03_min_2020_summer; B02_std_2021_summer; NBR_mean_2021_summer; TC_wet_mean_2021_autumn; SAVI_mean_2020_autumn,0.7871481657028199
