model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,feature_set,activation,n_layers,hidden_dim,dropout,lr,weight_decay,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.8043406441077923,0.9265420129351962,2.6319834610763717,6.033757581735206,7.577925645412477,0.9482377442323275,0.8558716727849368,0.839905428108901,0.9542931439024622,0.390243551419425,0.8374923241986685,4.897917700090162,3.5976569849180886,1.9089908171341023,4.843356752741829,0.2620262713662708,0.28195224020777676,100.0,100.0,100.0,1.0,7.260047851787022e-08,bands_indices_silu_L3_h256_lr0.005,bands_indices,silu,3,256,0.15,0.005,0.0001,798,339206,80,0.054944,155.2
model,0.7942885944063311,0.9239567410444561,2.6794894131994487,6.142109503389249,7.514517177929533,0.9455063925315084,0.8477391784473682,0.8253106767047713,0.9559808952897275,0.3535365786601887,0.8376578448043873,5.014529964291885,3.669523062820697,2.0377592206282014,4.833221626511346,0.23515248844236725,0.2867501165021995,100.0,100.0,100.0,1.0,7.343797392422857e-08,bands_indices_geglu_L3_h256_lr0.0005,bands_indices,geglu,3,256,0.15,0.0005,0.0001,798,675334,50,0.059341,109.5
model,0.5459465551129377,0.8052693549030365,4.01167816793185,9.767751267759762,8.337160343986683,0.8784114800874262,0.5672214347454101,0.4376813622042832,0.9060488186556883,0.0074205727034518665,0.47889566228126956,6.910579207590419,6.021710179296353,3.6300481529024333,6.589601575485101,0.3333787683035139,0.5847511240132738,100.0,100.0,100.0,1.0,7.207714958212819e-08,texture_all_geglu_L3_h256,texture_all,geglu,3,256,0.15,0.001,0.0001,570,558598,37,0.13027,74.2
model,0.5690016580751366,0.8243980590413601,3.8782010549133155,9.303259715936907,8.641589920160087,0.8996075695635299,0.6128917071190305,0.45806465617200887,0.9156264812577457,0.03807166504503523,0.4897478692933743,6.4795503851091185,5.937748781879996,3.6774216812693084,6.196183350881703,0.35554931375165816,0.6227528165881059,100.0,100.0,100.0,1.0,7.302042348555915e-08,texture_all_silu_L3_h256,texture_all,silu,3,256,0.15,0.001,0.0001,570,280838,39,0.116475,69.3
model,0.5925282004760509,0.8397710749348515,3.737402515108306,8.90717811069927,8.8418858624482,0.9095719215926446,0.652619312800276,0.5114561578910961,0.9197310732047043,0.01840980126893077,0.5433809360985612,6.3353117325947474,5.4758296623088505,3.466859525279873,6.107880800570523,0.3805742297479542,0.657959140147885,100.0,100.0,100.0,1.0,7.354496034395197e-08,texture_all_relu_L3_h256,texture_all,relu,3,256,0.15,0.001,0.0001,570,280838,55,0.114313,102.8
model,0.5563691099520908,0.8175890674982893,3.88723809660327,9.45600184364469,8.458032418867678,0.9012338023614983,0.5760675840751723,0.4309738289294798,0.9148495435484794,0.03266494715163659,0.4824249536461741,6.498578069469152,5.953379686626145,3.642861177191506,6.243791309438136,0.35803476481252994,0.6267835720821524,100.0,100.0,100.0,1.0,7.258844192392644e-08,texture_all_gelu_L3_h256,texture_all,gelu,3,256,0.15,0.001,0.0001,570,280838,39,0.119085,74.0
model,0.5293834024605008,0.7936155428996783,4.034227503827379,9.968031299031717,8.435237332959554,0.8885912909594689,0.5204450694061693,0.30645382107773145,0.9081427179092564,0.025982235641256457,0.5266852797689928,6.716243542504419,6.201892777019551,3.9514190749524447,6.421245241310049,0.33265920257073334,0.5819051846070787,100.0,100.0,100.0,1.0,7.25563396031248e-08,texture_all_geglu_L3_h128,texture_all,geglu,3,128,0.15,0.001,0.0001,570,213766,47,0.122322,137.2
model,0.5739640595457266,0.8336836158636136,3.8630803572089056,9.112129677101038,8.508117662133541,0.9021421356986917,0.6525172108785564,0.5205369578202997,0.9129209208884964,-0.0005826365913346176,0.4562497685795711,6.502955447325386,5.805247576228108,3.511301488124204,6.343285955073297,0.3560425202404882,0.6596491562619499,100.0,100.0,100.0,1.0,7.213773045577909e-08,texture_all_silu_L3_h512,texture_all,silu,3,512,0.15,0.001,0.0001,570,823814,38,0.111198,186.8
model,0.6065652777114651,0.8413109538705585,3.8076335653478113,8.838341416507307,9.256188224144104,0.9086359112598387,0.6553028891450429,0.5168869241981193,0.9203096967023084,0.045846144589702154,0.5924101003736857,6.40221491807684,5.653998426555982,3.4212264800336025,6.227347378048853,0.47495057869041296,0.6660636106811819,100.0,100.0,100.0,1.0,7.316385364219968e-08,texture_all_relu_L5_h256,texture_all,relu,5,256,0.15,0.001,0.0001,570,413446,43,0.115468,96.3
model,0.5852142195515283,0.8347341798303698,3.7705185355021147,9.054634516766875,8.549504997252287,0.9041183601813942,0.6426113995590752,0.5157841889284519,0.9158139246401624,0.03177492130153059,0.5011825226984719,6.348554064824817,5.761490620547461,3.4118376947417866,6.142297919898067,0.34921531002459655,0.6097156029759594,100.0,100.0,100.0,1.0,7.385710176777138e-08,texture_all_silu_L4_h256,texture_all,silu,4,256,0.15,0.001,0.0001,570,347142,43,0.113072,83.7
model,0.540999151414941,0.8006208052711105,4.169893945989805,9.850450529233372,8.789537043744794,0.8835280760667378,0.5646936319793319,0.3666475735834426,0.9046156885853056,0.021985780262358978,0.5045241580123513,6.940644194172566,6.331124239938632,4.062917388445191,6.662985235088616,0.4051612726119648,0.6165313456818605,100.0,100.0,100.0,1.0,7.200034701781988e-08,texture_all_geglu_L2_h256,texture_all,geglu,2,256,0.15,0.001,0.0001,570,426502,29,0.124349,38.1
model,0.5756528627847821,0.8258202213924135,3.939994191487471,9.257295666901623,9.138236499253727,0.8969261617155764,0.6095633244989288,0.48824216532301135,0.9150031202625362,0.013294668334207671,0.5308877365743425,6.695951333950127,5.897487559155086,3.5991985846846584,6.297623023237642,0.455832018740604,0.693872629156714,100.0,100.0,100.0,1.0,7.391228251663051e-08,texture_all_relu_L3_h256_d0.1,texture_all,relu,3,256,0.1,0.001,0.0001,570,280838,47,0.123354,78.6
model,0.5463981282215167,0.8161717626107395,3.9278271591863025,9.524274314325789,8.373151451650461,0.8974964438527552,0.5842499775182443,0.4417220100708046,0.9117634112336553,0.0036962464946651563,0.4394606801588822,6.51543327453817,6.09594820366883,3.6497758730419503,6.3294982899069065,0.3519047035746081,0.624402610387352,100.0,100.0,100.0,1.0,7.263255952238978e-08,texture_all_silu_L3_h256_lr0.005,texture_all,silu,3,256,0.15,0.005,0.0001,570,280838,48,0.119236,73.6
model,0.5175107006395309,0.7899542704360779,4.186789844798946,10.114728229865099,8.633501289777772,0.883889994354634,0.535940689592348,0.31979815423745783,0.8997911152448094,0.0478434319223493,0.4178008184854649,6.965403639282039,6.264406114627133,4.104627816494388,6.79070508632402,0.3558260770213803,0.639770335044715,100.0,100.0,100.0,1.0,7.231915333250072e-08,texture_all_geglu_L3_h256_lr0.0005,texture_all,geglu,3,256,0.15,0.0005,0.0001,570,558598,35,0.135474,71.0
model,0.7626325999553477,0.9149548588643076,2.91999902694364,6.493144293868427,8.270836801194372,0.9458270189964693,0.8387556374706213,0.7821372530088205,0.9468353040668058,0.22618430112343968,0.8360560850658841,5.208178462349231,3.8954829114674014,2.336475878189168,5.363705118015787,0.3936955343259066,0.32245625731434674,100.0,100.0,100.0,1.0,7.350138986339516e-08,bands_indices_texture_geglu_L3_h256,bands_indices_texture,geglu,3,256,0.15,0.001,0.0001,1368,967174,28,0.069154,69.1
model,0.8011044168128333,0.9183774402139606,2.8499430877149003,6.314638429363173,7.948075869614621,0.9421138361556876,0.8393998552636367,0.8172798268064672,0.9488985220363778,0.41210701068829636,0.8468274499264964,5.18859818081242,3.948290847453269,2.1436326849149223,5.230534698646747,0.29932656509435385,0.28927554936769007,100.0,100.0,100.0,1.0,7.3247392151643e-08,bands_indices_texture_silu_L3_h256,bands_indices_texture,silu,3,256,0.15,0.001,0.0001,1368,485126,41,0.065645,78.4
