fold,feature_set,config,n_features,r2,mae,time,n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,subsample_freq
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,lr0.1,438,0.7157864819692498,4.0932171561753234,30.88516139984131,500,6,0.1,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,lr0.2,438,0.7107694086775025,4.273787600933399,31.051066637039185,500,6,0.2,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,reg0.0,438,0.7232970055038255,4.047745577031704,29.937065839767456,500,6,0.05,31,20,0.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,reg1.0,438,0.7302263612815568,4.028411657288818,30.210134744644165,500,6,0.05,31,20,1.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,reg5.0,438,0.7291087393129733,4.058059121952007,30.578410863876343,500,6,0.05,31,20,5.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,reg10.0,438,0.7352240050750324,4.033655364820569,30.422886610031128,500,6,0.05,31,20,10.0,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,ss0.6,438,0.7243910205545085,4.038050978549179,28.689656734466553,500,6,0.05,31,20,0.1,0.6,0.85,1.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,ss0.7,438,0.7262086028664912,4.019653370025888,29.541841745376587,500,6,0.05,31,20,0.1,0.7,0.85,1.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,ss1.0,438,0.7244958529418047,4.0493282189861,30.30886220932007,500,6,0.05,31,20,0.1,1.0,0.85,0.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,cs0.5,438,0.7271237196780939,4.0406456942889175,23.904552698135376,500,6,0.05,31,20,0.1,0.85,0.5,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,cs0.7,438,0.731452213804289,4.025763816368025,27.278125524520874,500,6,0.05,31,20,0.1,0.85,0.7,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,cs1.0,438,0.7227500575547542,4.069110054907563,33.14283871650696,500,6,0.05,31,20,0.1,0.85,1.0,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,mcs5,438,0.7336540407448285,4.055904571271857,34.07385468482971,500,6,0.05,31,5,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,mcs50,438,0.7176827430210665,4.133435603215136,26.304336547851562,500,6,0.05,31,50,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,mcs100,438,0.7317339317047841,4.156583669692608,24.303796768188477,500,6,0.05,31,100,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,strong_deep,438,0.7224482147877208,4.082979290456526,241.01727986335754,1000,-1,0.03,127,10,1.0,0.8,0.8,1.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,strong_conservative,438,0.7268388216383331,4.0074055586263535,71.198566198349,1000,8,0.03,63,30,5.0,0.7,0.7,1.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,strong_shallow,438,0.7314046721646053,4.002899908687222,67.71014904975891,2000,4,0.02,15,20,0.5,0.85,0.85,1.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,strong_wide,438,0.736081712118398,3.9690537864100928,61.19913291931152,1000,6,0.03,255,20,3.0,0.8,0.7,1.0
1,VegIdx+RedEdge+TC+NDTI+CRI1,base,408,0.7131780022417907,4.051805186263529,29.033721685409546,500,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,n200,408,0.7103694109944785,4.115793970278866,15.628604412078857,200,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,n1000,408,0.7138967720519012,4.040695497958373,53.15123677253723,1000,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,n2000,408,0.7129405844615836,4.044278984593808,101.37718963623047,2000,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,depth4,408,0.7155174725792136,4.118120826529921,19.533477067947388,500,4,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,depth8,408,0.7148239032866072,4.048553100121589,33.50413250923157,500,8,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+CRI1,depth12,408,0.7099979911921164,4.08109587029397,36.04673910140991,500,12,0.05,31,20,0.1,0.85,0.85,
