model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.793389618396759,0.9290839433670044,2.630598284304142,5.952383205294609,8.113889011497452,0.9498351216316223,0.8653260469436646,0.8607447743415833,0.9530238509178162,0.2987020015716553,0.8326965570449829,4.901837930083275,3.6213360726833344,1.7911763861775398,4.806573688983917,0.31633698381483555,0.3463431727141142,100.0,100.0,100.0,1.0,6.90437786943221e-08,best5_v2_residual_silu_L20_d256_bn_lr0.0005,0,v5_5_arch,best5_v2,residual,silu,batchnorm,20,256,deep,0.0005,813,762,368.8
model,0.7683551907539368,0.9260216951370239,2.6577824726700783,6.096760556101799,7.952769569212282,0.9476869106292725,0.8629314303398132,0.8623263239860535,0.9495071768760681,0.1675053834915161,0.8201616406440735,4.992257058620453,3.5444527864456177,1.839376799762249,4.946311190724373,0.28646246064454317,0.3378537716343999,100.0,100.0,100.0,1.0,6.907329463956557e-08,best5_v2_plain_silu_L5_d1024_bn,0,v5_5_arch,best5_v2,plain,silu,batchnorm,5,1024,wide,0.001,813,664,85.6
model,0.7868995666503906,0.925153911113739,2.685161493718624,6.112520769238472,8.004981402750197,0.9452500939369202,0.8568825125694275,0.854426383972168,0.9517836570739746,0.2949112057685852,0.8181302547454834,5.049300566315651,3.6434903740882874,1.878521777689457,4.923897609114647,0.2830746350809932,0.3326765960082412,100.0,100.0,100.0,1.0,6.87436667590191e-08,best5_v2_plain_silu_L5_d2048_bn_lr0.0005,0,v5_5_arch,best5_v2,plain,silu,batchnorm,5,2048,wide,0.0005,813,706,107.5
model,0.7697529196739197,0.9270320534706116,2.6704102754592896,6.05040043592453,7.877940623654597,0.949015200138092,0.8541384935379028,0.8651223182678223,0.9524324536323547,0.16483289003372192,0.832966685295105,4.953719303011894,3.779477998614311,1.7917986959218979,4.89596389234066,0.2918379148468375,0.3096874337643385,100.0,100.0,100.0,1.0,6.881987246742938e-08,best5_v2_residual_silu_L10_d1024_bn_lr0.0005,0,v5_5_arch,best5_v2,residual,silu,batchnorm,10,1024,deep+wide,0.0005,813,1018,356.8
model,0.7765498757362366,0.9283585548400879,2.630765736103058,5.995962396264076,7.733064764674415,0.9490798711776733,0.8551381230354309,0.8623316287994385,0.9552960395812988,0.200517475605011,0.836927056312561,4.9666207283735275,3.652365878224373,1.8439317122101784,4.76318895816803,0.2740145195275545,0.2844776725396514,100.0,100.0,100.0,1.0,6.842947186669335e-08,best5_v2_residual_silu_L11_d1024_bn_lr0.0005,0,v5_5_arch,best5_v2,residual,silu,batchnorm,11,1024,deep+wide,0.0005,813,875,330.7
model,0.771571159362793,0.9268624186515808,2.712601236999035,6.053094193339348,7.8523138605328855,0.9452835917472839,0.8557565212249756,0.8682578206062317,0.9538677930831909,0.17288559675216675,0.8333644866943359,5.0748061388731,3.863760456442833,1.8673142418265343,4.871122911572456,0.3019649302586913,0.2966485219076276,100.0,100.0,100.0,1.0,7.004870639093497e-08,best5_v2_residual_silu_L12_d1024_bn_lr0.0005,0,v5_5_arch,best5_v2,residual,silu,batchnorm,12,1024,deep+wide,0.0005,813,945,381.5
model,0.7417653203010559,0.9079818725585938,3.634730353951454,7.463204860687256,8.706938644013682,0.9313812851905823,0.7894076704978943,0.9053624868392944,0.9533410668373108,0.08749663829803467,0.7835304141044617,5.848422273993492,6.148548796772957,4.793243482708931,4.23654280602932,0.22188257426023483,0.5597708281129599,100.0,100.0,100.0,1.0,6.972724264642238e-08,best5_residual_silu_L12_d256_bn,1,v5_5_arch,best5,residual,silu,batchnorm,12,256,deep,0.001,633,613,227.5
model,0.7462324500083923,0.9062721729278564,3.5489924252033234,7.393334060907364,8.358198524347408,0.9293036460876465,0.7723518013954163,0.8978135585784912,0.9613567590713501,0.050416648387908936,0.8660659193992615,5.830476805567741,6.1989981681108475,4.7886282205581665,3.835383430123329,0.18466516630724072,0.45583508908748627,100.0,100.0,100.0,1.0,7.10646332890974e-08,best5_residual_silu_L16_d256_bn_lr0.0005,1,v5_5_arch,best5,residual,silu,batchnorm,16,256,deep,0.0005,633,721,312.9
model,0.7448489665985107,0.9052045345306396,3.6338340491056442,7.458105683326721,8.487054236228264,0.9247331023216248,0.7686653137207031,0.9019192457199097,0.9600886702537537,0.0594332218170166,0.8541809320449829,5.9799764305353165,6.411067396402359,4.813209921121597,3.9015188813209534,0.19587846472859383,0.5013891961425543,100.0,100.0,100.0,1.0,6.917306905052101e-08,best5_residual_silu_L20_d256_bn_lr0.0005,1,v5_5_arch,best5,residual,silu,batchnorm,20,256,deep,0.0005,633,697,373.4
model,0.738983154296875,0.9010905027389526,3.7424396723508835,7.521586865186691,8.776309929574353,0.9171720147132874,0.7454522252082825,0.9024360775947571,0.9610884189605713,0.0006718635559082031,0.9070072174072266,6.185870990157127,6.854570657014847,4.822817072272301,3.938531130552292,0.2120061544701457,0.44083702377974987,100.0,100.0,100.0,1.0,6.945070651909191e-08,best5_plain_silu_L5_d1024_bn,1,v5_5_arch,best5,plain,silu,batchnorm,5,1024,wide,0.001,633,561,76.6
model,0.7500246167182922,0.8996672630310059,3.7222374230623245,7.624059170484543,8.12474993957709,0.919721782207489,0.7518004179000854,0.8956499695777893,0.9592320322990417,0.1061553955078125,0.867501974105835,6.152217462658882,6.72132670879364,4.86447848379612,3.9729177951812744,0.17050871392711997,0.45198211446404457,100.0,100.0,100.0,1.0,7.053775874510393e-08,best5_plain_silu_L5_d2048_bn_lr0.0005,1,v5_5_arch,best5,plain,silu,batchnorm,5,2048,wide,0.0005,633,685,117.0
model,0.7243908047676086,0.8927811980247498,3.8342472165822983,7.897946983575821,8.57989767940646,0.9224231839179993,0.7193880081176758,0.8876358270645142,0.9588879346847534,0.04024934768676758,0.8176902532577515,5.947164446115494,7.156427204608917,5.213356390595436,3.9368588477373123,0.20088779274374247,0.5508035887032747,100.0,100.0,100.0,1.0,6.97484736633669e-08,best5_residual_silu_L10_d1024_bn_lr0.0005,1,v5_5_arch,best5,residual,silu,batchnorm,10,1024,deep+wide,0.0005,633,659,293.1
