model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,feature_set,arch,activation,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.8134036660194397,0.9252199530601501,2.770393341779709,6.069019064307213,8.023503062767416,0.9475733041763306,0.8504527807235718,0.8362002372741699,0.9536322951316833,0.4591156244277954,0.8334331512451172,5.058971792459488,3.849521279335022,2.0874477922916412,5.019523203372955,0.30989975202828646,0.29699078295379877,100.0,100.0,100.0,1.0,6.215883985305481e-08,bands_indices_plain_relu_L3_d512,0,bands_indices,plain,relu,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,798,940550,156,0.40657,3.1
model,0.7671904563903809,0.9240881204605103,2.7730321511626244,6.172056868672371,8.25955756522624,0.9463852047920227,0.8545653223991394,0.8415942192077637,0.9520874619483948,0.17789924144744873,0.830598771572113,5.106157064437866,3.720725327730179,2.05819234251976,5.115332081913948,0.32315205316990614,0.3146393923088908,100.0,100.0,100.0,1.0,6.340655289704955e-08,bands_indices_plain_relu_L3_d128,0,bands_indices,plain,relu,3,128,0,0.15,0.0,0.001,0.0001,0.0,False,798,136838,234,0.406403,4.8
model,0.7702853679656982,0.9214100241661072,2.849429100751877,6.267940998077393,8.288858336871867,0.9439881443977356,0.8547056317329407,0.8306679725646973,0.9497009515762329,0.21744602918624878,0.825190544128418,5.29915988445282,3.7408191710710526,2.1756047382950783,5.223658308386803,0.3064056159928441,0.35092663019895554,100.0,100.0,100.0,1.0,6.272315289379549e-08,bands_indices_plain_mish_L3_d256,0,bands_indices,plain,mish,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,339206,146,0.407627,2.8
model,0.7732813358306885,0.9238248467445374,2.821030281484127,6.192278861999512,8.278210121528376,0.9452593922615051,0.8531898856163025,0.8474256992340088,0.9522230625152588,0.24292004108428955,0.7986552715301514,5.272626131772995,3.8795314729213715,1.9474297761917114,5.152181535959244,0.3030516440048814,0.37135009188205004,100.0,100.0,100.0,1.0,6.194766655198691e-08,bands_indices_plain_mish_L5_d256,0,bands_indices,plain,mish,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.408911,3.0
model,0.7687382698059082,0.9233593940734863,2.753293700516224,6.186982616782188,7.95269417982758,0.9461560845375061,0.8476102352142334,0.8520486950874329,0.9504711627960205,0.18331342935562134,0.832818865776062,5.124586820602417,3.7442415952682495,1.914326287806034,5.102889612317085,0.33807780127972364,0.2956265350803733,100.0,100.0,100.0,1.0,6.393252505176861e-08,bands_indices_plain_mish_L3_d512,0,bands_indices,plain,mish,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,798,940550,135,0.407573,2.9
model,0.7670649886131287,0.9224810004234314,2.8648672625422478,6.230421736836433,8.401012144646286,0.9447309970855713,0.8531813621520996,0.8379521369934082,0.9507752060890198,0.18725848197937012,0.8284804821014404,5.323953181505203,3.8234908133745193,2.136843092739582,5.265187099575996,0.3159266896545887,0.323817552998662,100.0,100.0,100.0,1.0,6.216352943511083e-08,bands_indices_plain_mish_L3_d128,0,bands_indices,plain,mish,3,128,0,0.15,0.0,0.001,0.0001,0.0,False,798,136838,186,0.408967,3.7
model,0.7660730481147766,0.9206331968307495,2.8052756562829018,6.295182555913925,8.065994357828492,0.9447580575942993,0.8438204526901245,0.820168673992157,0.9522876143455505,0.19908231496810913,0.8363075256347656,5.055419355630875,4.060409963130951,2.1305354312062263,4.997692629694939,0.29235645197331905,0.2952406881377101,100.0,100.0,100.0,1.0,6.33330259347531e-08,bands_indices_plain_geglu_L3_d256,0,bands_indices,plain,geglu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,675334,109,0.411599,2.4
model,0.7678449153900146,0.9218276143074036,2.9044119641184807,6.261545419692993,8.381852964663484,0.9438663721084595,0.8501204252243042,0.834275484085083,0.9517602920532227,0.20957934856414795,0.817453145980835,5.150391533970833,3.9419028908014297,2.301432192325592,5.228886380791664,0.45973523519933224,0.34412797540426254,100.0,100.0,100.0,1.0,6.310270350695646e-08,bands_indices_plain_geglu_L5_d256,0,bands_indices,plain,geglu,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,939526,134,0.412651,4.0
model,0.7613673210144043,0.9201719760894775,2.9082288965582848,6.3412971794605255,8.222493279726443,0.9448164105415344,0.8480825424194336,0.8150302171707153,0.9520065784454346,0.2052963376045227,0.8029534220695496,5.244423449039459,3.831615298986435,2.4020031094551086,5.252014845609665,0.37451235111802816,0.34480588510632515,100.0,100.0,100.0,1.0,6.303806543428436e-08,bands_indices_plain_relu_L5_d256_do0.1,0,bands_indices,plain,relu,5,256,0,0.1,0.0,0.001,0.0001,0.0,False,798,471814,133,0.408469,3.6
model,0.7854905724525452,0.9219479560852051,2.83228512853384,6.221609935164452,8.342300011682802,0.9437660574913025,0.8534491062164307,0.8408561944961548,0.9487134218215942,0.2960558533668518,0.830089807510376,5.300299823284149,3.788570314645767,2.014744281768799,5.2453357726335526,0.3017847426235676,0.34298310056328773,100.0,100.0,100.0,1.0,6.30426839620668e-08,bands_indices_plain_relu_L3_d256_lr0.0005,0,bands_indices,plain,relu,3,256,0,0.15,0.0,0.0005,0.0001,0.0,False,798,339206,147,0.408151,3.1
