fold,group,n_features,r2,mae,time
1,RedEdge+WaterIdx,282,0.6792810620463888,4.565438402860521,49.44885611534119
1,RedEdge+TC,228,0.7073306130511083,4.576946802092433,39.48124551773071
1,RedEdge+WaterIdx+TC,318,0.6935119996598543,4.329418734202723,53.92672657966614
1,RedEdge+VegIdx+TC,348,0.7321886956180883,4.2001697283436545,51.97314667701721
1,Vis+SWIR,240,0.7324758700261675,4.270288013474807,42.41919541358948
1,Vis+NIR+RedEdge,384,0.7185817695010814,4.346745017235443,56.287012577056885
1,All bands,480,0.7219530277793537,4.202829775526083,65.71465873718262
1,All indices,270,0.7385998588812833,4.433415633375387,49.9504611492157
1,Bands+indices,750,0.7453102013382367,4.1096295136657615,78.75908660888672
1,Bands+idx+TC,786,0.7320265647703645,4.0235152988892064,80.85312843322754
2,Vis bands (B02-04),144,0.33949341702796526,2.593775393140722,16.482719898223877
2,NIR band (B08),48,0.02711354321499208,4.914939617495851,9.068642139434814
2,"Red-edge (B05-07,8A)",192,0.43866293133336715,2.367658772497712,19.94261360168457
2,SWIR (B11-12),96,0.21558745872686172,2.855002227857789,12.61392617225647
2,Veg idx,120,0.5773461017515722,2.1608606825615957,14.502797842025757
2,Urban idx,60,0.17910241760607284,3.030180456281207,10.818087339401245
2,Water idx,90,0.5201181004102684,2.618522689052724,12.970262050628662
2,Tasseled Cap,36,0.43318592259265465,2.646696921860764,8.742099285125732
2,Spatial,48,-0.19076990713786293,5.681310038685023,9.361780881881714
2,RedEdge+WaterIdx,282,0.6097314850505139,2.0334861144372782,47.42877793312073
2,RedEdge+TC,228,0.5605944461568452,2.1580146501267023,38.04979729652405
2,RedEdge+WaterIdx+TC,318,0.6227508445837263,1.9929283002149893,53.38417339324951
2,RedEdge+VegIdx+TC,348,0.6278562051091271,1.9928558987332818,54.8066828250885
2,Vis+SWIR,240,0.5508197883692365,2.2624782085868,40.261452198028564
2,Vis+NIR+RedEdge,384,0.5296716464296095,2.120040141905445,52.49385094642639
2,All bands,480,0.5758183740060298,2.0488204943933104,64.99645042419434
2,All indices,270,0.6034843250747524,2.123784925368552,49.661524057388306
2,Bands+indices,750,0.6314472884916674,1.9613002058280204,81.85244131088257
2,Bands+idx+TC,786,0.623225079889424,1.9605862267177945,83.29402995109558
3,Vis bands (B02-04),144,0.6229673824952041,6.067171813797551,16.28659963607788
3,NIR band (B08),48,0.3201044212735284,8.787007115269342,10.351332664489746
3,"Red-edge (B05-07,8A)",192,0.66970082689781,5.945530826839751,18.133227109909058
3,SWIR (B11-12),96,0.48544761493831395,7.382974932171253,11.827867031097412
3,Veg idx,120,0.5065312011211982,5.550742542918067,13.929496049880981
3,Urban idx,60,0.4772221408805463,7.419283534765044,10.470902442932129
3,Water idx,90,0.5011068708723615,6.316160441586359,12.986669063568115
3,Tasseled Cap,36,0.6137397725361834,6.239188672286317,8.305087566375732
3,Spatial,48,0.36179111942282444,10.158784872217511,9.837073802947998
3,RedEdge+WaterIdx,282,0.6768852863809259,5.394949289257273,43.31758260726929
3,RedEdge+TC,228,0.6537315813176782,5.4419885280586975,38.16679120063782
3,RedEdge+WaterIdx+TC,318,0.6859440127585197,5.189461251583716,46.86138987541199
3,RedEdge+VegIdx+TC,348,0.6651286855701959,5.15288816032513,52.10050296783447
3,Vis+SWIR,240,0.5989178327480977,5.841815655947742,43.47290396690369
3,Vis+NIR+RedEdge,384,0.6897902799830608,5.223180982920345,55.197410345077515
3,All bands,480,0.6423439428404015,5.097327318394971,64.04758620262146
3,All indices,270,0.6257173429125885,5.459378619323856,44.41170525550842
3,Bands+indices,750,0.6468624719332942,4.9437238048999355,82.9080548286438
3,Bands+idx+TC,786,0.6387763118266626,4.9401027442593595,82.42812418937683
4,Vis bands (B02-04),144,0.41158155708317823,2.0471780760992107,18.099568605422974
4,NIR band (B08),48,-0.45200491454549857,4.047117367887918,10.777802228927612
4,"Red-edge (B05-07,8A)",192,0.5544907859699005,1.613105758189764,22.41795563697815
4,SWIR (B11-12),96,0.4198258255474097,1.9496879414331025,13.177412271499634
4,Veg idx,120,0.48060707469964675,1.6311943031227916,14.755404710769653
4,Urban idx,60,0.06540896064574682,2.3874259268186098,11.660321712493896
