version,model_type,config,feature_set,n_features,fold,r2_uniform,mae_mean_pp
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC,348,0,0.8057432285911355,3.1137858954141926
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC,348,0,0.8002000104999425,3.2003138082297244
LGBM,LightGBM,reg0.0,VegIdx+RedEdge+TC,348,0,0.8084081809760506,3.049754214300708
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC,348,0,0.8086766823777182,3.059787088607882
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC,348,0,0.8067956439013484,3.057286888843804
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC,348,0,0.8107602832958628,3.03711536272048
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC,348,0,0.8060021862266201,3.034594934233368
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC,348,0,0.8094920530060454,3.0473371536924723
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC,348,0,0.8077771821163645,3.0534405221865413
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC,348,0,0.811021679472952,3.030453452617475
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC,348,0,0.8096503744625881,3.0571006791729998
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC,348,0,0.8063381362810552,3.0722243098371087
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC,348,0,0.8186209046376779,3.068028450302821
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC,348,0,0.7911346751804386,3.0824234074256145
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC,348,0,0.7756662752927911,3.1329841354759544
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC,348,0,0.816265907645006,2.99065426978208
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC,348,0,0.8001728859141343,2.971423094470153
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC,348,0,0.8108237262905634,3.0675300288793657
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC,348,0,0.8157675415351231,2.985215704301283
LGBM,LightGBM,base,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7244958529418047,4.0493282189861
LGBM,LightGBM,n200,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.723985636234616,4.112907974228256
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.724213582767899,4.040640086799407
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.723731812789559,4.046091390169585
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7253653849331391,4.146379038512841
LGBM,LightGBM,depth8,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7207244321231125,4.0617512791180514
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.718598993902864,4.065542061324679
LGBM,LightGBM,depth_none,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7164430190350609,4.0606822694413065
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7254778719159815,4.105811430163793
LGBM,LightGBM,leaves63,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.724171349893462,4.118659815299893
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.724171349893462,4.118659815299893
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.724171349893462,4.118659815299893
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7176269172379947,4.318193960421205
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7157864819692498,4.0932171561753234
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7107694086775025,4.273787600933399
LGBM,LightGBM,reg0.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7232970055038255,4.047745577031704
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7302263612815568,4.028411657288818
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7291087393129733,4.058059121952007
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7352240050750324,4.033655364820569
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7243910205545085,4.038050978549179
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7262086028664912,4.019653370025888
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7244958529418047,4.0493282189861
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7271237196780939,4.0406456942889175
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.731452213804289,4.025763816368025
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7227500575547542,4.069110054907563
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7336540407448285,4.055904571271857
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7176827430210665,4.133435603215136
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7317339317047841,4.156583669692608
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7224482147877208,4.082979290456526
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7268388216383331,4.0074055586263535
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.7314046721646053,4.002899908687222
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,438,1,0.736081712118398,3.9690537864100928
LGBM,LightGBM,base,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7131780022417907,4.051805186263529
LGBM,LightGBM,n200,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7103694109944785,4.115793970278866
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7138967720519012,4.040695497958373
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7129405844615836,4.044278984593808
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7155174725792136,4.118120826529921
LGBM,LightGBM,depth8,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7148239032866072,4.048553100121589
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7099979911921164,4.08109587029397
LGBM,LightGBM,depth_none,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7108166184182885,4.058372378097004
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7145325403900112,4.060856187297046
LGBM,LightGBM,leaves63,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7099749315227393,4.075926731105755
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7099749315227393,4.075926731105755
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7099749315227393,4.075926731105755
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7125544728212635,4.327983899031718
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.722210002293494,4.088075878793653
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC+NDTI+CRI1,408,1,0.7136694321509833,4.25631963906463
