model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,run_id,feature_set,arch,activation,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,use_cosine,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.790256917476654,0.9225358963012695,2.729315310716629,6.200398877263069,7.493691255647029,0.9438387155532837,0.8578809499740601,0.8285085558891296,0.9508126974105835,0.3295106887817383,0.8309797048568726,5.093437433242798,3.682192414999008,2.011859230697155,5.042921751737595,0.2459693467244506,0.2994981128722429,100.0,100.0,100.0,1.0,6.272315289379549e-08,bands_indices_residual_silu_L6_d256,27,bands_indices,residual,silu,6,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,1787654,78,0.404414,16.1
model,0.8021547198295593,0.9218240976333618,2.867802418768406,6.197545304894447,8.037611589510146,0.945399284362793,0.8491731286048889,0.8481964468955994,0.9462195038795471,0.39660370349884033,0.8273228406906128,5.268203839659691,3.7787601351737976,2.0005200058221817,5.4708972573280334,0.37970368284732103,0.3087245859205723,100.0,100.0,100.0,1.0,6.222439452585604e-08,bands_indices_residual_silu_L8_d256,28,bands_indices,residual,silu,8,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,2314502,49,0.405095,12.5
model,0.8033065795898438,0.9248706102371216,2.6797061786055565,6.089926138520241,7.4578119255521775,0.9431717991828918,0.8524191379547119,0.8412378430366516,0.9551054239273071,0.3861582279205322,0.8417370915412903,5.028983578085899,3.7082675844430923,1.964777149260044,4.873653128743172,0.22855715360492468,0.2740003168582916,100.0,100.0,100.0,1.0,6.451291767461953e-08,bands_indices_residual_silu_L12_d256,30,bands_indices,residual,silu,12,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,3368198,74,0.406662,25.9
model,0.822864830493927,0.9243155121803284,2.757038176059723,6.078055500984192,7.653627366299381,0.9436684250831604,0.8456864356994629,0.8508948087692261,0.9528082609176636,0.5114655494689941,0.8326516151428223,5.092883110046387,3.68812158703804,1.9718293100595474,5.169934034347534,0.3032986307516694,0.31619889196008444,100.0,100.0,100.0,1.0,6.246727934922092e-08,bands_indices_residual_relu_L4_d256,31,bands_indices,residual,relu,4,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,1260806,52,0.402793,9.4
model,0.7893256545066833,0.9247263669967651,2.723582647740841,6.138188764452934,7.579705703050857,0.9437652826309204,0.8584555387496948,0.8432736396789551,0.9538105726242065,0.33078283071517944,0.805851936340332,5.10772168636322,3.701498731970787,2.017180807888508,4.961882904171944,0.23148052860051394,0.32172868959605694,100.0,100.0,100.0,1.0,6.251853790217865e-08,bands_indices_residual_relu_L8_d256,33,bands_indices,residual,relu,8,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,2314502,48,0.405928,12.6
model,0.7836195826530457,0.923825740814209,2.7331436052918434,6.160389259457588,7.727816366379762,0.9468250870704651,0.8473234176635742,0.8234818577766418,0.9555658102035522,0.2893255949020386,0.8391822576522827,5.028046295046806,3.744429722428322,2.148267440497875,4.891464486718178,0.2787521807476878,0.3078832756727934,100.0,100.0,100.0,1.0,6.269528540769898e-08,bands_indices_residual_relu_L10_d256,34,bands_indices,residual,relu,10,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,2841350,44,0.404995,13.0
model,0.8476694226264954,0.9264521598815918,2.6839604601264,5.953318253159523,7.388977954171058,0.9458084106445312,0.8487476706504822,0.8584601879119873,0.9526076912879944,0.6484655737876892,0.8319137692451477,5.067728832364082,3.687494620680809,1.8249643966555595,5.002537369728088,0.23069668095558882,0.2903533633798361,100.0,100.0,100.0,1.0,6.359456961035903e-08,bands_indices_residual_relu_L12_d256,35,bands_indices,residual,relu,12,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,3368198,67,0.405079,22.2
model,0.8138135075569153,0.9220520853996277,2.7953453361988068,6.176543235778809,7.549751722572255,0.9393420219421387,0.8389818072319031,0.8510476350784302,0.9536502957344055,0.4800238609313965,0.8198230862617493,5.284940078854561,4.099159687757492,1.8841896206140518,4.999293014407158,0.2205721801146865,0.2839006716385484,100.0,100.0,100.0,1.0,6.23132550003902e-08,bands_indices_residual_gelu_L8_d256_do0.1,37,bands_indices,residual,gelu,8,256,2,0.1,0.0,0.001,0.0001,0.0,False,True,798,2314502,58,0.407972,15.5
model,0.8153284192085266,0.925478994846344,2.647494338452816,6.044761463999748,7.435283048175155,0.946581244468689,0.8489660024642944,0.8531025648117065,0.9520303010940552,0.45138120651245117,0.8398966789245605,5.008110031485558,3.657124936580658,1.7549507319927216,4.95886467397213,0.23014249745756388,0.27576962020248175,100.0,100.0,100.0,1.0,6.348916059550902e-08,bands_indices_residual_gelu_L8_d256_do0.25,38,bands_indices,residual,gelu,8,256,2,0.25,0.0,0.001,0.0001,0.0,False,True,798,2314502,60,0.406822,14.8
model,0.8053560256958008,0.9213612675666809,2.6646755635738373,6.20388388633728,5.88478682131861,0.9388065934181213,0.8491702675819397,0.85777348279953,0.9484414458274841,0.40984445810317993,0.8280931115150452,5.190502107143402,3.5213682800531387,1.7262229695916176,5.0566416233778,0.21882939618080854,0.2745124977082014,100.0,100.0,100.0,1.0,6.341114300312256e-08,bands_indices_residual_gelu_L8_d256_swa,47,bands_indices,residual,gelu,8,256,2,0.15,0.0,0.001,0.0001,0.0,True,True,798,2314502,300,0.420215,71.4
