model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s,run_tag
model,0.8119301199913025,0.9223939180374146,2.735118567943573,6.163778901100159,7.760201902353538,0.9453537464141846,0.848829984664917,0.8218926191329956,0.951666533946991,0.4585028886795044,0.8453173637390137,5.055532604455948,3.699464350938797,2.0683957263827324,5.020187795162201,0.2778042107820511,0.28933139983564615,100.0,100.0,100.0,1.0,6.904799221274516e-08,bands_indices_texture_plain_mish_L3_d512_bn,0,cv,bands_indices_texture,plain,mish,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,1368,1232390,300,0.414666,24.8,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8209660053253174,0.9212314486503601,2.779834531247616,6.191584095358849,7.81839712401637,0.9446381330490112,0.8530588150024414,0.815800666809082,0.9490998983383179,0.5226659178733826,0.8405203223228455,5.094332247972488,3.8561150431632996,2.0319728180766106,5.140918120741844,0.26127120945602655,0.29438629280775785,100.0,100.0,100.0,1.0,6.920807038568455e-08,bands_indices_texture_plain_mish_L5_d512_nonorm,0,cv,bands_indices_texture,plain,mish,none,5,512,2,0.15,0.0,0.001,0.0001,0,False,1368,1754630,253,0.41234,19.9,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8222073912620544,0.9191911816596985,2.8425322845578194,6.259030848741531,8.235873992790065,0.9467110633850098,0.851286768913269,0.7903236150741577,0.9479085803031921,0.5582219362258911,0.8387786149978638,5.0645798444747925,3.7878576666116714,2.3268980905413628,5.213532969355583,0.3277260810136795,0.33462627325206995,100.0,100.0,100.0,1.0,6.996135226700062e-08,bands_indices_texture_residual_geglu_L6_d256_bn,0,cv,bands_indices_texture,residual,geglu,batchnorm,6,256,2,0.15,0.0,0.001,0.0001,0,False,1368,2722566,300,0.413857,58.3,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.739926815032959,0.9190350770950317,2.8756780549883842,6.367658823728561,8.591167778875912,0.9456239938735962,0.8594654202461243,0.8091729283332825,0.946324348449707,0.030034780502319336,0.8489347696304321,5.083829164505005,3.7166308611631393,2.2743742913007736,5.420815572142601,0.4344684537500143,0.32394262962043285,100.0,100.0,100.0,1.0,6.895092496961297e-08,bands_indices_hog_plain_gelu_L5_d512_bn,0,cv,bands_indices_hog,plain,gelu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,1002,1572358,300,0.414707,31.2,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.7762093544006348,0.9217551946640015,2.75331512093544,6.241900846362114,7.939694419652947,0.9444210529327393,0.8454158306121826,0.8253369331359863,0.9532229900360107,0.2509196996688843,0.8379228115081787,5.110921710729599,3.7322796881198883,2.05655824393034,4.976335912942886,0.3349593374878168,0.30883948784321547,100.0,100.0,100.0,1.0,6.956899056831389e-08,bands_indices_hog_plain_silu_L5_d256_bn,0,cv,bands_indices_hog,plain,silu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,1002,524038,300,0.413212,32.5,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.7817577719688416,0.9213070869445801,2.775554172694683,6.2377143651247025,8.203063824644227,0.9436888098716736,0.8567285537719727,0.819365382194519,0.9498740434646606,0.2660667300224304,0.8548107147216797,5.199172720313072,3.65554541349411,2.0080404356122017,5.121711641550064,0.3678398672491312,0.3010303247720003,100.0,100.0,100.0,1.0,6.828037157902145e-08,bands_indices_hog_plain_relu_L5_d256_bn,0,cv,bands_indices_hog,plain,relu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,1002,524038,300,0.413787,32.4,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.7672682404518127,0.9194060564041138,2.8716864064335823,6.332045793533325,8.471851469327486,0.9451591372489929,0.8522018194198608,0.8192242980003357,0.946735680103302,0.2027856707572937,0.8374963402748108,5.1682449877262115,3.6569450050592422,2.1942544728517532,5.470307916402817,0.4101213067770004,0.33024302683770657,100.0,100.0,100.0,1.0,6.913650452133879e-08,bands_indices_hog_plain_relu_L5_d512_bn,0,cv,bands_indices_hog,plain,relu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,1002,1572358,300,0.41302,32.2,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.805088222026825,0.920293390750885,2.7968736365437508,6.246702745556831,7.811382817794394,0.9405685663223267,0.8496130704879761,0.8271946907043457,0.9497730731964111,0.42173147201538086,0.841630220413208,5.266762152314186,3.7334848195314407,2.0437972620129585,5.146852508187294,0.2852492034435272,0.30511999502778053,100.0,100.0,100.0,1.0,6.946426367449021e-08,bands_indices_hog_plain_mish_L3_d512_bn,0,cv,bands_indices_hog,plain,mish,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,1002,1044998,300,0.413249,24.5,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8202614188194275,0.9252910017967224,2.6873352006077766,6.04291744530201,7.85320799083119,0.9453215599060059,0.8464920520782471,0.8430154919624329,0.9547625780105591,0.4846290349960327,0.8473243117332458,5.0445254892110825,3.6583397537469864,1.9358543679118156,4.90117222070694,0.2949527697637677,0.2891666488721967,100.0,100.0,100.0,1.0,6.977379740646938e-08,bands_indices_hog_plain_mish_L5_d256_bn,0,cv,bands_indices_hog,plain,mish,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,1002,524038,300,0.411586,31.6,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8249972462654114,0.9229952096939087,2.8096096590161324,6.114785745739937,7.985250661642043,0.9449470043182373,0.8458251953125,0.8262961506843567,0.9526251554489136,0.5282506942749023,0.8520282506942749,5.22383488714695,3.8799498230218887,2.071109786629677,5.087814480066299,0.3102208487689495,0.28472605627030134,100.0,100.0,100.0,1.0,6.891290382782245e-08,bands_indices_hog_plain_silu_L3_d512_nonorm,0,cv,bands_indices_hog,plain,silu,none,3,512,2,0.15,0.0,0.001,0.0001,0,False,1002,1041926,256,0.409174,17.7,stcv_ep300_bs2048_pat2000_min1500_seed42
