model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,fold,train_size,test_size,morans_i_mean,morans_i_tree_cover,morans_i_grassland,morans_i_cropland,morans_i_built_up,morans_i_bare_sparse,morans_i_water
rf,0.6837371550697077,0.872499758589376,3.229478160844849,7.868381060403855,4.45327553965412,0.9118970975573796,0.7503935061330624,0.7720255270995356,0.9074484838730081,-0.000212575809053428,0.7608708915642741,6.014375698709696,4.365820409278368,1.9608220650859038,6.450878835613502,0.23956689723358482,0.3454050591480545,100.0,100.0,100.0,1.0,1.2656893711207656e-16,0,19446,6100,0.22928333333333337,0.3289,0.4847,0.2535,0.1683,-0.0099,0.1502
rf,0.6515166191621388,0.8277370258691295,4.577689329557386,10.007858426737643,5.735971935026898,0.8732033033513639,0.5787461744173941,0.8202801598493322,0.9189257079267875,-0.0062953196431265734,0.7242396890709399,7.351892412652192,7.869987313411045,6.1756917171491805,5.296196004210242,0.13784166160866787,0.6345268683130366,100.0,100.0,100.0,1.0,1.309796562954835e-16,1,22036,6000,0.3415833333333333,0.2236,0.5039,0.5912,0.3069,0.1984,0.2255
rf,0.5817187036849422,0.8818611629083389,2.1966899836629095,6.062543908065171,3.100087759942163,0.9182271076570258,0.6844308461485833,0.3543278091680264,0.8994762247152959,-0.008667085206207181,0.6425173196271667,5.106715861807387,2.6383581431828205,0.39015320863532316,4.635803170945337,0.2669751357444229,0.14213438166231504,100.0,100.0,100.0,1.0,1.5767031223806736e-16,2,22000,5866,0.17051666666666668,0.4028,0.1716,0.0994,0.2221,0.1159,0.0113
rf,0.560838726471071,0.7197853943486442,5.938565359828802,12.432494873092041,6.240801764877707,0.8486820582667258,0.6642212445522118,0.6053340411600394,0.7711600994735002,0.017805482808771145,0.45782943256536834,6.703589088248823,8.368362779787956,10.352912764809979,9.494869420720391,0.10286773018155765,0.608790375224128,100.0,100.0,100.0,1.0,1.2814317993216828e-16,3,21946,5900,0.45326666666666665,0.5193,0.2637,0.7911,0.7609,0.0539,0.3307
rf,0.6799967158351242,0.920670928512994,1.4447571867844171,4.7555081174492395,2.244953277132734,0.934820098794765,0.7224817758758677,0.5606822769377666,0.9492768839998451,0.0002867602937169922,0.9124324991087246,3.537380003289783,2.0008224628433404,0.21081918423203863,2.5255399241286427,0.11924972551756823,0.27473182069514895,100.0,100.0,100.0,1.0,1.5695758959263551e-16,4,19206,6080,0.28953333333333336,0.2861,0.4951,0.2156,0.4621,0.4189,-0.1406
catboost,0.6712339920389128,0.815029313757713,3.9991377284548184,9.238501171077683,4.193827857575152,0.8541685441918,0.6628476424413094,0.7159988866521134,0.8553409231263222,0.19634835243088467,0.7426996033909976,7.859427479578651,4.936823430406224,2.1452031093491293,8.479943184255372,0.22310310771035727,0.3503260594291872,100.0,100.0,100.0,1.0,1.2145257929201783e-16,0,19446,6100,0.14903333333333332,0.3101,0.0675,0.2133,0.1551,-0.0099,0.1581
catboost,0.6032414505759786,0.7959308592769172,5.040595572037819,11.053415125267891,5.169642876651592,0.8134700224203152,0.5585207116622374,0.8205585349987516,0.8819984443619191,-0.006336742222673664,0.551237732235195,8.897107590038033,7.9574173776257,6.115736950545437,6.3862788094502925,0.13833954584238148,0.7486931587250472,100.0,100.0,100.0,1.0,1.2572183047608088e-16,1,22036,6000,0.23298333333333332,0.2917,0.2517,0.1727,0.2106,0.1985,0.2727
catboost,0.6142923984585046,0.8624225698347331,2.444861962363516,6.353653077634984,2.9944562399917265,0.8866510346621976,0.6828779120999986,0.5295444834400003,0.8862662254121334,0.014896401564615913,0.6855183335722563,6.093504085226147,2.65108989891871,0.34775859724487906,5.173861913162715,0.26573747341713955,0.13721980621148538,100.0,100.0,100.0,1.0,1.2961296170603609e-16,2,22000,5866,0.09735,0.3021,0.0825,0.0517,0.0401,0.1111,-0.0034
catboost,0.5752054488714947,0.7508480866770847,5.602853350794631,11.965075076515086,5.568548515175995,0.8065300205915708,0.5791045090662119,0.7362651454957838,0.814696044506394,0.006733553790655766,0.5079034197785257,7.648346561267587,8.527311950123925,7.883218304546849,8.91652542099815,0.10519444975643495,0.5365234180748708,100.0,100.0,100.0,1.0,1.2549091633887243e-16,3,21946,5900,0.34651666666666664,0.3475,0.0776,0.6688,0.6062,0.0515,0.3275
catboost,0.6544103537554369,0.8942879569924542,1.67128108511232,5.4479553955973845,2.3053422198107016,0.9134329884891186,0.6843308027737249,0.4045092718248373,0.9207789405718217,0.1279314172717776,0.8754787016012616,4.1211338255982355,2.083567151209832,0.2115222235384408,3.1949862781484275,0.11277131963606678,0.3037057125429138,100.0,100.0,100.0,1.0,1.3058168148404698e-16,4,19206,6080,0.19886666666666664,0.1259,0.1718,0.3343,0.1929,0.4016,-0.0333
