name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
bands_indices_glcm_lbp_residual_mish_L12_d128,0.4280318319797516,,5.587714537978172,,10.476962812430939,,1,2.0,0.5,924.0,913542.0,bands_indices_glcm_lbp,residual,mish,layernorm
full_no_deltas_residual_geglu_L4_d256_nonorm,0.42766669392585754,,6.467107683420181,,9.605801386684453,,1,2.0,0.2,1428.0,1945350.0,full_no_deltas,residual,geglu,none
bands_indices_residual_relu_L12_d128,0.42750072479248047,,5.214548110961914,,9.900008054048035,,1,2.0,0.7,798.0,897414.0,bands_indices,residual,relu,layernorm
bands_indices_glcm_lbp_residual_relu_L12_d128,0.4273581802845001,,5.272567272186279,,10.163021993430911,,1,2.0,0.5,924.0,913542.0,bands_indices_glcm_lbp,residual,relu,layernorm
full_no_deltas_residual_gelu_L6_d128,0.4270176589488983,,5.8420877903699875,,10.61567187541771,,1,2.0,0.3,1428.0,580998.0,full_no_deltas,residual,gelu,layernorm
bands_indices_hog_residual_gelu_L8_d256,0.42671847343444824,,5.600321292877197,,9.641192980757024,,1,2.0,0.4,1002.0,2366214.0,bands_indices_hog,residual,gelu,layernorm
full_no_deltas_residual_silu_L12_d128,0.42638540267944336,,5.331087112426758,,10.495124903079578,,1,2.0,0.5,1428.0,978054.0,full_no_deltas,residual,silu,layernorm
bands_indices_hog_residual_mish_L6_d256_nonorm,0.42613887786865234,,5.7442981749773026,,10.02280311901869,,1,2.0,0.2,1002.0,1835782.0,bands_indices_hog,residual,mish,none
bands_indices_texture_residual_mish_L12_d128,0.42561379075050354,,5.513909459114075,,10.33252919276282,,1,2.0,0.7,1368.0,970374.0,bands_indices_texture,residual,mish,layernorm
bands_indices_glcm_lbp_residual_gelu_L12_d128_nonorm,0.42551493644714355,,5.8460533618927,,10.215113893475712,,1,2.0,0.4,924.0,910214.0,bands_indices_glcm_lbp,residual,gelu,none
bands_indices_hog_residual_gelu_L8_d256_mix0.2,0.4249851703643799,,6.781507283449173,,10.021336449087414,,1,2.0,0.4,1002.0,2366214.0,bands_indices_hog,residual,gelu,layernorm
full_no_deltas_residual_silu_L8_d256,0.42489567399024963,,6.393618136644363,,10.171395488527468,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,silu,layernorm
full_no_deltas_residual_silu_L8_d256_mix0.4,0.42485713958740234,,6.834249943494797,,10.710601928492046,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,silu,layernorm
full_no_deltas_residual_silu_L10_d256,0.4248105585575104,,6.592448800802231,,10.171837276437541,,1,2.0,0.4,1428.0,3002118.0,full_no_deltas,residual,silu,layernorm
full_no_deltas_residual_geglu_L6_d128,0.4236018657684326,,5.991096422076225,,10.953553239420943,,1,2.0,0.4,1428.0,779142.0,full_no_deltas,residual,geglu,layernorm
full_no_deltas_residual_gelu_L12_d128,0.423300176858902,,5.134853348135948,,10.226639059748637,,1,2.0,0.5,1428.0,978054.0,full_no_deltas,residual,gelu,layernorm
