model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,section,activation,n_layers,hidden_dim,dropout,lr,weight_decay,l1_lambda,feature_set,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.7475881447557707,0.9145356407889957,2.8292472617681708,6.5545012529767455,7.821108007832465,0.9417909468069411,0.8463985151261227,0.7970959710282367,0.9459409497203215,0.1605794029321549,0.7937230829208033,5.187795973829825,3.72136233151689,2.132086924916636,5.297006361316279,0.28604838149665546,0.35118359753273654,100.0,100.0,100.0,1.0,7.388863565438442e-08,arch_gelu_L2_h128,architecture,gelu,2,128,0.15,0.001,0.0001,0.0,all,2109,287878,52,0.060087,28.6
model,0.7565718535807745,0.917763799140894,2.7484399349167337,6.424542943271147,7.6568253422315475,0.9420979057628459,0.8444137726777194,0.8170961030038004,0.9493088727449782,0.17904879041380084,0.8074656768814634,5.085512545454788,3.6929918492067255,1.9969133337564935,5.1126144801601185,0.27246784235840693,0.3301395585638706,100.0,100.0,100.0,1.0,7.367550836079317e-08,arch_gelu_L2_h256,architecture,gelu,2,256,0.15,0.001,0.0001,0.0,all,2109,608518,45,0.05912,33.0
model,0.7624427861949566,0.9134759902340113,2.7827841825563544,6.574698454234304,7.437305965656996,0.9416160253364587,0.8432177666077534,0.78995673334851,0.9452549785731246,0.2664129769926846,0.7881982363111635,5.088029774530562,3.6410721239526094,2.101921659097805,5.234831539858846,0.2746252512783227,0.3562247466199782,100.0,100.0,100.0,1.0,7.4167935792957e-08,arch_gelu_L2_h512,architecture,gelu,2,512,0.15,0.001,0.0001,0.0,all,2109,1348102,43,0.059263,49.2
model,0.7503006082479048,0.9188512722224252,2.7918549575984666,6.397011635021486,8.013146781243606,0.9428173869537124,0.8543095863875511,0.8075454270885429,0.9504949252758901,0.1378082191676775,0.8088281046140121,5.18827867065461,3.60838285433503,2.085881816093564,5.177892929783113,0.3122369378161685,0.3784565369083182,100.0,100.0,100.0,1.0,7.319568595676174e-08,arch_gelu_L3_h128,architecture,gelu,3,128,0.15,0.001,0.0001,0.0,all,2109,304646,48,0.059812,30.2
model,0.774710482308628,0.9170287427375325,2.7328196789821235,6.423625812990028,7.585582579502783,0.9426091053540985,0.8425614373078134,0.7932609497740948,0.9509942787621382,0.3008730019837754,0.8179641206698031,5.025702365552593,3.7048078361214243,2.0785823840690227,5.005335805007339,0.2796183351348996,0.30287134800746346,100.0,100.0,100.0,1.0,7.370316978949631e-08,arch_gelu_L3_h256,architecture,gelu,3,256,0.15,0.001,0.0001,0.0,all,2109,674822,48,0.060338,43.3
model,0.7600150961578586,0.9166774411674926,2.7694297378381987,6.461711593067958,7.479159188675205,0.9423216508609411,0.8420202335225464,0.8070554582235374,0.9490902448903347,0.21642348064405414,0.8031795088056971,5.09412235303721,3.6310139304665783,2.1202029414067085,5.141004607384066,0.30418661929570406,0.3260479754389282,100.0,100.0,100.0,1.0,7.31718117208402e-08,arch_gelu_L3_h512,architecture,gelu,3,512,0.15,0.001,0.0001,0.0,all,2109,1611782,41,0.059824,62.6
model,0.7651178921389551,0.9171228336325021,2.7175739021171226,6.431031674767854,7.7212575006707596,0.9442012792871027,0.8429608461614809,0.7963004871831723,0.9496862967742362,0.2379643668556124,0.819594076572082,4.95631673097702,3.6658982724939198,2.060712507109902,5.030815046592893,0.2764266772544227,0.31527417827457804,100.0,100.0,100.0,1.0,7.251619393855435e-08,arch_gelu_L4_h128,architecture,gelu,4,128,0.15,0.001,0.0001,0.0,all,2109,321414,69,0.060195,46.9
model,0.7664107330622212,0.9136157646314973,2.841010463201923,6.556087831093323,7.767231194654059,0.9397512048853325,0.8370925425317766,0.7921388713286608,0.9478124768819337,0.277183754262869,0.8044855484827124,5.206380070855944,3.781765523949601,2.1169458237286487,5.291254456716861,0.3148300846721202,0.3348868192883632,100.0,100.0,100.0,1.0,7.29166629298561e-08,arch_gelu_L4_h256,architecture,gelu,4,256,0.15,0.001,0.0001,0.0,all,2109,741126,47,0.059263,48.3
model,0.7540593860101827,0.9149497366004767,2.7860212652880123,6.530838445247547,7.428401525440869,0.9409022392199942,0.8415662965582834,0.7892624295587569,0.9499667233171538,0.20109048499042703,0.8015681424164388,5.1829836416378745,3.6615202082836182,2.0773679861251377,5.157338455743229,0.3030989155025913,0.3338183844356252,100.0,100.0,100.0,1.0,7.316783268151994e-08,arch_gelu_L4_h512,architecture,gelu,4,512,0.15,0.001,0.0001,0.0,all,2109,1875462,44,0.059574,79.5
model,0.7472268636007748,0.9174262240058242,2.763871683896404,6.4432420866904465,7.796546797555562,0.9425001812793704,0.8509319393670989,0.799173278045907,0.9498279788979607,0.12212538210900292,0.8188024219052639,5.054366216786443,3.673629848573612,2.0517846377288746,5.172246721022229,0.31569336540490095,0.31550931386236253,100.0,100.0,100.0,1.0,7.441487781534306e-08,arch_gelu_L5_h128,architecture,gelu,5,128,0.15,0.001,0.0001,0.0,all,2109,338182,64,0.05976,52.2
