version,name,feature_set,r2_mean,r2_std,mae_mean,n_folds,n_features
V13,bi_LBP_all5_plain_silu_L5_d1024_bn,bi_LBP_all5,0.7499401211738587,0.07016749159439324,2.59258346632123,5,1128
V13,bi_LBP_NIR_plain_silu_L3_d1024_bn,bi_LBP_NIR,0.7497835040092469,0.026599354881966786,2.5424892269074917,5,864
V13,bi_LBP_all5_plain_silu_L7_d1024_bn,bi_LBP_all5,0.7465634703636169,0.01936466391591965,2.5881904177367687,5,1128
V13,bi_LBP_all5_residual_silu_L20_d256_bn_lr0.0005,bi_LBP_all5,0.7448867082595825,0.029609516346016364,2.686714995652437,5,1128
V11,bi_LBP_Gab2_DMP_plain_silu_L5_d1536_bn,bi_LBP_Gab2_DMP,0.744684636592865,0.059731143355627646,2.641147430986166,5,1632
V12,bi_LBP_mLBP_plain_silu_L5_d1024_bn,bi_LBP_mLBP,0.7434290170669555,0.0360085495388243,2.6450890116393566,5,1344
V15,bi_LBP_all5_plain_silu_L5_d1024_bn,bi_LBP_all5,0.7433878540992737,0.04991129165163232,2.601263392716646,5,1128
V13,bi_LBP_NIR_plain_silu_L7_d1536_bn,bi_LBP_NIR,0.7409652471542358,0.10366699433574281,2.55661454051733,5,864
V13,bi_LBP_all5_residual_silu_L20_d512_bn_lr0.0005,bi_LBP_all5,0.7408699750900268,0.04221171216964756,2.718278467655182,5,1128
V13,bi_LBP_NIR_residual_silu_L20_d256_bn_lr0.0005,bi_LBP_NIR,0.7370335578918457,0.06331357824282696,2.541794292628765,5,864
V12b,residual_silu_L20_d256_bn_lr5e-4,unknown,0.7337648391723632,0.035766546556302556,2.6970661245286465,5,1344
V11,bi_LBP_Gab2_DMP_plain_silu_L5_d2048_bn,bi_LBP_Gab2_DMP,0.7336607336997986,0.06290608055829225,2.6529350876808167,5,1632
V13,bi_LBP_NIR_plain_silu_L5_d1024_bn,bi_LBP_NIR,0.7326513648033142,0.05315356470621151,2.5248390063643456,5,864
V11,bi_Gab2_DMP_plain_silu_L5_d2048_bn,bi_Gab2_DMP,0.7325736880302429,0.07357819477060479,2.691100537776947,5,1566
V11,bi_Gab2_DMP_plain_silu_L5_d1536_bn,bi_Gab2_DMP,0.7287010073661804,0.10179917981176763,2.596449051052332,5,1566
V13,bi_LBP_NIR_residual_silu_L20_d512_bn_lr0.0005,bi_LBP_NIR,0.7273466229438782,0.041848969190576034,2.5589672662317753,5,864
V12b,residual_silu_L20_d512_bn_lr5e-4,unknown,0.7261638164520263,0.03291198585870317,2.7987775951623917,5,1344
V11,bi_Gab2_DMP_plain_silu_L7_d1536_bn,bi_Gab2_DMP,0.7236974835395813,0.055681666941949884,2.651750575751066,5,1566
V6_arch,model,unknown,0.7215573036670685,0.07732713968318176,2.5748990904539824,50,1083
V13,bi_LBP_NIR_plain_silu_L5_d2048_bn,bi_LBP_NIR,0.7195456981658935,0.08265492997948265,2.521690372377634,5,864
V13,bi_LBP_all5_plain_silu_L7_d1536_bn,bi_LBP_all5,0.7192989230155945,0.05417289979678264,2.6470967568457127,5,1128
V13,bi_LBP_NIR_residual_silu_L10_d512_bn_lr0.0005,bi_LBP_NIR,0.7133621335029602,0.06552030547172905,2.6134132593870163,5,864
V5_arch,model,unknown,0.7092626889701933,0.1013610983733086,2.6880222547333688,80,633
V15,bi_LBP_NIR_plain_silu_L5_d1024_bn,bi_LBP_NIR,0.7091410160064697,0.13672789534047175,2.560743745416403,5,864
V13,bi_LBP_NIR_plain_silu_L7_d1024_bn,bi_LBP_NIR,0.7028536677360535,0.15742331019277567,2.53037191927433,5,864
V11,bi_Gab2_DMP_plain_silu_L7_d1024_bn,bi_Gab2_DMP,0.6944472014904022,0.11961073334667456,2.618138398975134,5,1566
V11,bi_LBP_Gab2_DMP_plain_silu_L5_d1024_bn,bi_LBP_Gab2_DMP,0.6827981472015381,0.15990788905274628,2.638024613261223,5,1632
V7_arch,model,unknown,0.6816061060130596,0.1753677649426085,2.5806834809482098,50,1173
V10,model,unknown,0.6534385287761688,0.261496214319921,2.809497434645891,75,864
V12,bi_mLBP_only_plain_silu_L5_d1536_bn,bi_mLBP_only,0.6224759697914124,0.3141644160944532,2.543724961578846,5,1278
V12,bi_mLBP_only_plain_silu_L5_d1024_bn,bi_mLBP_only,0.5673801302909851,0.435100170123127,2.5630624406039715,5,1278
V5_deep,model,unknown,0.41165764798718013,1.7712700683649976,3.5956863269945325,233,798
V11,bi_Gab2_DMP_plain_silu_L5_d1024_bn_dirichlet,bi_Gab2_DMP,-6.5332465171813965,,27.718552947044373,1,1566
V11,bi_Gab2_DMP_plain_silu_L5_d1536_bn_dirichlet,bi_Gab2_DMP,-9.336976051330566,,26.806363463401794,1,1566
