model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,head,feature_set,n_features,epochs,elapsed_s
model,0.5987587571144104,0.8979353904724121,3.7482351064682007,7.368941605091095,10.744590925076883,0.9298098087310791,0.8080147504806519,0.824455976486206,0.9455356001853943,-0.11912131309509277,0.2038264274597168,6.050808355212212,4.320632666349411,2.6895204558968544,5.8395810425281525,1.6099080443382263,1.9789567217230797,100.0,100.0,100.0,1.0,5.571062544618144e-08,bi_LBP_dirichlet_geglu_L3_h1024,0,v10,dirichlet_geglu,bi_LBP,864,58,25.4
model,0.766768753528595,0.9195101261138916,2.841877192258835,6.336367130279541,8.02402824146966,0.9459521770477295,0.8468287587165833,0.8158739805221558,0.9487398862838745,0.21270889043807983,0.8304979801177979,5.090866237878799,4.076462611556053,2.1116849035024643,5.169549584388733,0.28356132097542286,0.3191426396369934,100.0,100.0,100.0,1.0,6.297798194054849e-08,bi_MP_Gabor_softmax_geglu_L3_h1024,0,v10,softmax_geglu,bi_MP_Gabor,996,42,17.4
model,0.7091009020805359,0.9112914204597473,3.6194700747728348,6.728004664182663,10.766808364703033,0.9399816393852234,0.8287201523780823,0.8029001951217651,0.9468676447868347,-0.013413786888122559,0.7495446801185608,5.636291950941086,4.159586876630783,2.776792272925377,5.823147669434547,1.6103722155094147,1.7106585204601288,100.0,100.0,100.0,1.0,5.548540471522756e-08,bi_MP_Gabor_dirichlet_geglu_L3_h1024,0,v10,dirichlet_geglu,bi_MP_Gabor,996,53,22.7
model,0.8252530097961426,0.9200454950332642,2.7540767565369606,6.228968128561974,7.435800875080134,0.9432893991470337,0.8465030193328857,0.8148151636123657,0.9494768381118774,0.5651294589042664,0.8322896361351013,5.114006623625755,3.7433642894029617,1.962747983634472,5.116715282201767,0.28340157587081194,0.3042329801246524,100.0,100.0,100.0,1.0,6.24532887627538e-08,bi_LBP_MP_Gabor_softmax_geglu_L3_h1024,0,v10,softmax_geglu,bi_LBP_MP_Gabor,1062,51,21.0
model,0.5944023132324219,0.8954914212226868,3.69894839823246,7.462380081415176,10.693496013023667,0.9356725811958313,0.8160728216171265,0.7881918549537659,0.9389204978942871,-0.14795100688934326,0.23547643423080444,5.765055492520332,4.270685091614723,2.783043496310711,5.9597257524728775,1.533009484410286,1.8821986392140388,100.0,100.0,100.0,1.0,5.586722195971561e-08,bi_LBP_MP_Gabor_dirichlet_geglu_L3_h1024,0,v10,dirichlet_geglu,bi_LBP_MP_Gabor,1062,56,23.6
model,0.7608363032341003,0.9146870970726013,3.36780808866024,7.037808001041412,7.913536986073922,0.930051863193512,0.7930302619934082,0.9124094247817993,0.9632209539413452,0.05836683511734009,0.9078477025032043,5.7288508862257,5.920488387346268,4.320577904582024,3.6948584020137787,0.16438595484942198,0.377684342674911,100.0,100.0,100.0,1.0,6.823798770483336e-08,bi_LBP_plain_silu_L5_d1024_bn,1,v10,ilr_v4,bi_LBP,864,650,77.4
model,0.7579991817474365,0.9179775714874268,3.363245725631714,6.989807635545731,7.82892888675874,0.9303611516952515,0.8110997676849365,0.9204137325286865,0.9589660167694092,0.04766726493835449,0.8794005513191223,5.712278187274933,5.725962296128273,4.258185997605324,3.909323737025261,0.1611583400517702,0.4125966224819422,100.0,100.0,100.0,1.0,6.992652146209366e-08,bi_LBP_plain_silu_L5_d512_bn,1,v10,ilr_v4,bi_LBP,864,679,79.2
model,0.7635847926139832,0.9100465178489685,3.570720925927162,7.263455539941788,8.73729778606976,0.9306155443191528,0.7863292098045349,0.9030168056488037,0.9613311290740967,0.1390720009803772,0.8610849380493164,5.79022504389286,6.277638673782349,4.782029241323471,3.849945589900017,0.22751232609152794,0.4970083013176918,100.0,100.0,100.0,1.0,7.083095709958798e-08,bi_LBP_residual_silu_L20_d256_bn_lr0.0005,1,v10,ilr_v4,bi_LBP,864,655,335.2
model,0.7552132606506348,0.915191650390625,3.4698013216257095,7.104021310806274,8.12582870129201,0.9259799718856812,0.8050198554992676,0.9176278710365295,0.9596096873283386,0.053556740283966064,0.8693950772285461,5.844078958034515,6.0167185962200165,4.398638755083084,3.9521925151348114,0.16782397869974375,0.43934485875070095,100.0,100.0,100.0,1.0,6.978665822998664e-08,bi_MP_Gabor_plain_silu_L5_d1024_bn,1,v10,ilr_v4,bi_MP_Gabor,996,621,74.8
model,0.7615850567817688,0.9118240475654602,3.527955338358879,7.141316682100296,8.255308035412417,0.9277084469795227,0.7777604460716248,0.9115619659423828,0.9639466404914856,0.08842271566390991,0.9000276327133179,5.765646323561668,6.4233385026454926,4.607235640287399,3.8022827357053757,0.17283427296206355,0.39638918824493885,100.0,100.0,100.0,1.0,6.927570694870155e-08,bi_MP_Gabor_plain_silu_L5_d512_bn,1,v10,ilr_v4,bi_MP_Gabor,996,620,73.7
