version,model_type,config,feature_set,r2_mean,r2_std,mae_mean,n_folds,n_features
LGBM,LightGBM,leaves63,VegIdx+RedEdge+TC,0.6991269981036499,0.06714424781312707,3.104490599145314,5,348
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC,0.6982071502421171,0.07177273699686362,3.065929291109106,5,348
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC,0.6979648685339003,0.06864979897605679,3.102734389129689,5,348
LGBM,LightGBM,base,VegIdx+RedEdge+TC,0.6979648685339003,0.06864979897605679,3.102734389129689,5,348
LGBM,LightGBM,reg0.0,VegIdx+RedEdge+TC,0.6972378355753058,0.06878316222457319,3.102800135218793,5,348
LGBM,LightGBM,depth8,VegIdx+RedEdge+TC,0.6969153060980232,0.07290475638400892,3.0746521181350643,5,348
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC,0.6965705705091743,0.06495246932844999,3.140880279391954,5,348
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC,0.6951763458794226,0.07134024234399637,3.096224610306022,5,348
LGBM,LightGBM,depth_none,VegIdx+RedEdge+TC,0.694646496464628,0.07464850917792479,3.0789916877935095,5,348
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC,0.693334205875033,0.06733442184250107,3.18596436632385,5,348
V4_trees,extratrees,extratrees_500_third_feat_all_core,all_core,0.6924093163891497,,3.1351169353347066,1,2109
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC,0.6923986351208155,0.07386488124786109,3.078175847190642,5,348
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC,0.692230201771897,0.07138679899898442,3.1139312986288195,5,348
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC,0.692110169882396,0.07855051447102492,3.1097051754206246,5,348
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC,0.6918430010525889,0.07162007081006933,3.142666656023645,5,348
LGBM,LightGBM,n200,VegIdx+RedEdge+TC,0.6887944806566925,0.07079175830749998,3.158435303127143,5,348
V4_trees,extratrees,extratrees_500_third_feat_bands_and_indices,bands_and_indices,0.6857178244281471,,3.2209727647739466,1,798
V4_trees,rf,rf_500_feat_all_core,all_core,0.6837371550697077,,3.2294781608448475,1,2109
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC,0.6795321569512291,0.07391625151427265,3.316854780869101,5,348
V4_trees,extratrees,extratrees_1000_feat_bands_and_indices,bands_and_indices,0.6770846442130893,,3.33694613284484,1,798
V4_trees,extratrees,extratrees_500_third_feat_bands_only,bands_only,0.6767906721023956,,3.3997841632805827,1,480
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC,0.6766485932714913,0.0765734220305281,3.2533200295648994,5,348
V4_trees,extratrees,extratrees_500_feat_bands_and_indices,bands_and_indices,0.675969391292068,,3.3454997044070205,1,798
V4_trees,extratrees,extratrees_1000_feat_all_core,all_core,0.6753132568062733,,3.33537006699826,1,2109
V4_trees,extratrees,extratrees_500_feat_all_core,all_core,0.6748207843695057,,3.3392807530675563,1,2109
V4_trees,rf,rf_500_feat_bands_and_indices,bands_and_indices,0.6747576983586839,,3.30732166293498,1,798
V4_trees,catboost,catboost_1000_feat_all_core,all_core,0.6712339920389128,,3.9991377284548175,1,2109
V4_trees,extratrees,extratrees_500_third_feat_indices_only,indices_only,0.6688477007495077,,3.376622747112272,1,318
V4_trees,rf,rf_500_third_feat_all_core,all_core,0.6685209327866279,,3.269121394250068,1,2109
V4_trees,extratrees,extratrees_1000_feat_bands_only,bands_only,0.6661700160106682,,3.5124489678539352,1,480
V4_trees,extratrees,extratrees_500_feat_bands_only,bands_only,0.6659451137283215,,3.5146061932820425,1,480
V4_trees,catboost,catboost_deeper_feat_bands_and_indices,bands_and_indices,0.6622876868109471,,3.619023627369721,1,798
V4_trees,catboost,catboost_deeper_feat_all_core,all_core,0.6621157394469329,,3.720457675590806,1,2109
V4_trees,rf,rf_500_feat_bands_only,bands_only,0.6601581765426632,,3.4889547988763154,1,480
V4_trees,rf,rf_500_third_feat_bands_and_indices,bands_and_indices,0.6592852116757743,,3.35137504695999,1,798
V4_trees,catboost,catboost_1000_feat_bands_and_indices,bands_and_indices,0.6572465790166254,,3.915845297685073,1,798
V4_trees,rf,rf_500_feat_indices_only,indices_only,0.6568022899508682,,3.439013049523284,1,318
V4_trees,extratrees,extratrees_1000_feat_indices_only,indices_only,0.6559811793848108,,3.5372826165674103,1,318
V4_trees,extratrees,extratrees_500_feat_indices_only,indices_only,0.6546665584029933,,3.543776576512508,1,318
V4_trees,catboost,catboost_1000_feat_bands_only,bands_only,0.6523706781527084,,4.02895249455256,1,480
V4_trees,catboost,catboost_deeper_feat_bands_only,bands_only,0.6522731332632187,,3.8446875041115263,1,480
V4_trees,rf,rf_500_third_feat_bands_only,bands_only,0.6497675609616534,,3.5430754502018305,1,480
V4_trees,rf,rf_500_third_feat_indices_only,indices_only,0.6450715754098139,,3.414971636683632,1,318
V8,unknown,model,v5_glcm_lbp,0.6428176860592854,0.031041177248173606,3.481395678441301,35,924
V4_trees,catboost,catboost_deeper_feat_indices_only,indices_only,0.6356967711707499,,3.8054281073917817,1,318
V4_trees,catboost,catboost_1000_feat_indices_only,indices_only,0.6127326592955609,,4.082612116280885,1,318
