model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,texture_combo,combo_size,n_features,n_texture_features,epochs,elapsed_s
model,0.8267015814781189,0.9272929430007935,2.727697789669037,5.950755253434181,7.915507684077523,0.9433926939964294,0.8635545372962952,0.8666685819625854,0.9513382911682129,0.4882567524909973,0.8469820022583008,5.2210502326488495,3.6573387682437897,1.847209595143795,5.133237689733505,0.23934219498187304,0.26798585895448923,100.0,100.0,100.0,1.0,6.949779418619073e-08,bi_LBP+SV_plain_silu_L5_d1024_bn,0,v9,LBP+SV,2,906,108,775,96.5
model,0.7838904857635498,0.9257413744926453,2.6616310700774193,6.084305047988892,7.33276763654924,0.945242702960968,0.8587218523025513,0.8374800682067871,0.9551958441734314,0.25955408811569214,0.8471370935440063,4.996439069509506,3.6014270037412643,2.018127962946892,4.829774051904678,0.26051460299640894,0.26349672116339207,100.0,100.0,100.0,1.0,6.94684558766312e-08,bi_MP+HOG_plain_silu_L5_d1024_bn,0,v9,MP+HOG,2,1056,258,744,90.6
model,0.8521416187286377,0.9316996335983276,2.602887339890003,5.75682669878006,7.741566641764275,0.9525936245918274,0.870862603187561,0.8485373258590698,0.9543406963348389,0.6387518644332886,0.8477466702461243,4.729891940951347,3.620583564043045,1.824631541967392,4.906727373600006,0.2643510699272156,0.27113170363008976,100.0,100.0,100.0,1.0,7.048799943731865e-08,bi_MP+Gabor_plain_silu_L5_d1024_bn,0,v9,MP+Gabor,2,996,198,694,84.3
model,0.8304617404937744,0.9274259209632874,2.634268067777157,5.953681841492653,7.340483836384505,0.945904016494751,0.8506619930267334,0.8405663967132568,0.9581226706504822,0.5421450138092041,0.8453580737113953,4.944562166929245,3.7308886647224426,1.9547181203961372,4.69658263027668,0.22031390108168125,0.2585476962849498,100.0,100.0,100.0,1.0,6.879447767005331e-08,bi_MP+SV_plain_silu_L5_d1024_bn,0,v9,MP+SV,2,894,96,771,95.4
model,0.7742738723754883,0.9206171035766602,2.7818160131573677,6.279762089252472,7.75848964553169,0.9455670118331909,0.8480839133262634,0.8095626831054688,0.9516683220863342,0.24390292167663574,0.8468342423439026,5.131782591342926,3.703426569700241,2.19332929700613,5.088067054748535,0.2998610958456993,0.2744383178651333,100.0,100.0,100.0,1.0,6.969027310788078e-08,bi_HOG+Gabor_plain_silu_L5_d1024_bn,0,v9,HOG+Gabor,2,1146,348,683,83.8
model,0.7682616710662842,0.9193173050880432,2.9377607628703117,6.329005211591721,8.838630338919602,0.9421988129615784,0.8515408635139465,0.8295319080352783,0.9470324516296387,0.1988849639892578,0.8403786420822144,5.332282558083534,3.871599957346916,2.0231077447533607,5.492726713418961,0.4979414399713278,0.40890714153647423,100.0,100.0,100.0,1.0,6.919544404127009e-08,bi_HOG+SV_plain_silu_L5_d1024_bn,0,v9,HOG+SV,2,1044,246,608,74.6
model,0.7989358305931091,0.9282495975494385,2.6529477909207344,5.963490530848503,7.582890039079133,0.9467456936836243,0.8700853586196899,0.8538475632667542,0.9526501893997192,0.31782740354537964,0.8524463176727295,4.996843263506889,3.5006992518901825,1.933085173368454,4.970122873783112,0.2609139773994684,0.2560273976996541,100.0,100.0,100.0,1.0,6.89340282633566e-08,bi_Gabor+SV_plain_silu_L5_d1024_bn,0,v9,Gabor+SV,2,984,186,716,85.3
model,0.846270740032196,0.9295400381088257,2.664949931204319,5.852361395955086,7.868112436751009,0.9454831480979919,0.8581896424293518,0.8650994300842285,0.9564081430435181,0.6271315813064575,0.8252894878387451,5.009572580456734,3.7640389055013657,1.8103830516338348,4.829035699367523,0.27767629362642765,0.2990099135786295,100.0,100.0,100.0,1.0,6.843373512310791e-08,bi_GLCM+LBP+MP_plain_silu_L5_d1024_bn,0,v9,GLCM+LBP+MP,3,978,180,683,81.5
model,0.7637903094291687,0.9192966818809509,2.764607034623623,6.326013058423996,7.373752315603232,0.9424910545349121,0.8467518091201782,0.8354318737983704,0.9470354914665222,0.16255640983581543,0.848462700843811,5.222054943442345,3.7479598075151443,1.943977177143097,5.129248276352882,0.27692087460309267,0.26747919619083405,100.0,100.0,100.0,1.0,6.828889809185057e-08,bi_GLCM+LBP+HOG_plain_silu_L5_d1024_bn,0,v9,GLCM+LBP+HOG,3,1128,330,716,86.1
model,0.8305408954620361,0.9283708930015564,2.632930316030979,5.914269760251045,6.974039101072599,0.94671231508255,0.8626341223716736,0.8610917329788208,0.9524592757225037,0.5179344415664673,0.8424030542373657,4.96797040104866,3.6138102412223816,1.7360869795084,4.990394413471222,0.22604388650506735,0.26326982770115137,100.0,100.0,100.0,1.0,6.955642817274565e-08,bi_GLCM+LBP+Gabor_plain_silu_L5_d1024_bn,0,v9,GLCM+LBP+Gabor,3,1068,270,845,101.1
model,0.816044270992279,0.9279584288597107,2.697325684130192,5.953841283917427,7.786691988839314,0.946670413017273,0.8614401817321777,0.8587473630905151,0.9530071020126343,0.43325746059417725,0.8431272506713867,5.009952560067177,3.6516092717647552,1.925259456038475,5.001255124807358,0.29862348455935717,0.29725292697548866,100.0,100.0,100.0,1.0,6.91154369292235e-08,bi_GLCM+LBP+SV_plain_silu_L5_d1024_bn,0,v9,GLCM+LBP+SV,3,966,168,683,83.1
model,0.6342614889144897,0.9177771210670471,2.899857424199581,6.496200710535049,8.878522961263807,0.948375403881073,0.8528512120246887,0.8251726627349854,0.9454894065856934,-0.6087313890457153,0.8424177169799805,4.979941621422768,3.739382326602936,2.1156180649995804,5.376598238945007,0.7612426765263081,0.4263693932443857,100.0,100.0,100.0,1.0,6.892557991022841e-08,bi_GLCM+MP+HOG_plain_silu_L5_d1024_bn,0,v9,GLCM+MP+HOG,3,1116,318,608,77.7
