name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
bands_indices_texture_plain_mish_L5_d512_nonorm,0.702548211812973,0.1454215398655969,2.7088908292353153,1.235442029660968,7.728172587336897,0.7414025369884564,5,241.6,23.1,1368,1754630,bands_indices_texture,plain,mish,none
all_full_plain_geglu_L3_d256_bn,0.7007672548294067,0.04781354734867989,2.993413992226124,1.4787153883931206,8.0078674272692,0.9616169189272252,5,296.4,33.92,3534,2076166,all_full,plain,geglu,batchnorm
all_full_plain_silu_L5_d512_nonorm,0.700630497932434,0.09806399878157501,2.806237917393446,1.3770480930204119,7.651207291587585,0.8991551184840024,5,235.6,24.0,3534,2863622,all_full,plain,silu,none
all_full_plain_mish_L5_d512_nonorm,0.6955617189407348,0.08319090736643954,2.8303138352930546,1.380011250274453,7.742323601940683,0.7967912782851649,5,234.4,23.919999999999998,3534,2863622,all_full,plain,mish,none
bands_indices_hog_plain_silu_L5_d512_nonorm,0.6928519189357758,0.15374927968311536,2.711745798587799,1.2235481833483115,7.6970380430030785,0.8871171232732072,5,248.0,23.94,1002,1567238,bands_indices_hog,plain,silu,none
bands_indices_plain_mish_L5_d512_nonorm,0.6928512871265411,0.21428413237644756,2.509044613689184,1.12973693947542,7.1887949374328795,0.8776807160855931,5,284.4,27.48,798,1462790,bands_indices,plain,mish,none
bands_indices_hog_plain_relu_L5_d256_bn,0.6825586259365082,0.15460957479635762,2.5806514360010624,1.079024391953432,8.059520191203074,0.4470767374162812,5,295.2,38.7,1002,524038,bands_indices_hog,plain,relu,batchnorm
bands_indices_glcm_lbp_plain_silu_L5_d512_nonorm,0.6736028373241425,0.2254014559518739,2.5292357616126537,1.1101311756108938,7.306372038272761,0.8863764798458368,5,266.6,25.72,924,1527302,bands_indices_glcm_lbp,plain,silu,none
texture_all_plain_mish_L5_d512_bn,0.5709284126758576,0.05317554526173096,3.69804535061121,1.7264730654244045,8.833979785685393,0.72325512179962,5,267.6,34.12,570,1351174,texture_all,plain,mish,batchnorm
texture_all_plain_gelu_L5_d256_bn,0.5513113141059875,0.07859129407038962,3.8101137802004814,1.8268191352355267,8.979961123465243,0.7362931991350428,5,276.0,35.760000000000005,570,413446,texture_all,plain,gelu,batchnorm
top500_full_plain_relu_L5_d512_bn,0.549501645565033,0.09953052652916558,3.625830113887787,1.8516617353289442,8.57549311303497,1.2389196228818111,5,267.2,35.760000000000005,500,1315334,top500_full,plain,relu,batchnorm
texture_all_plain_silu_L5_d512_bn,0.5488272309303284,0.07036745841970246,3.7783246487379074,1.7613213483678236,8.981073733623335,0.42972699317712265,5,265.8,33.980000000000004,570,1351174,texture_all,plain,silu,batchnorm
top500_full_residual_relu_L12_d128_bn,0.5463281869888306,0.13845513023388928,3.775322698056698,1.9735873351003,9.166248997600636,0.8074893901406108,5,265.0,100.38,500,859270,top500_full,residual,relu,batchnorm
top500_full_plain_mish_L5_d512_bn,0.5425048887729644,0.13750435786776188,3.598867617547512,1.7657623178499513,8.93875206228007,0.6175794140027001,5,260.2,34.239999999999995,500,1315334,top500_full,plain,mish,batchnorm
top500_full_residual_relu_L6_d128_bn,0.5168221116065979,0.15961468557420325,3.6353999003767967,1.7654488271787716,8.935397217255465,0.6006904035914853,5,279.2,64.16,500,462214,top500_full,residual,relu,batchnorm
top500_full_plain_silu_L5_d512_bn,0.5157314509153366,0.19136701995271838,3.640794977545738,1.7697773831504955,8.977322665792935,0.579036323730592,5,256.4,33.94,500,1315334,top500_full,plain,silu,batchnorm
texture_all_residual_silu_L12_d128_bn,0.5151315987110138,0.10546643141667472,3.997354730963707,1.904250693708534,9.148100740877853,0.5720142284067579,5,277.0,101.92,570,868230,texture_all,residual,silu,batchnorm
texture_all_plain_mish_L5_d256_bn,0.5104719936847687,0.13534633271065186,3.7614158540964127,1.8319782780955773,8.688992647876987,0.7390533745288237,5,290.8,38.2,570,413446,texture_all,plain,mish,batchnorm
top500_full_residual_silu_L6_d128_bn,0.5080397009849549,0.15272026796907937,3.6209524422883987,1.7528485641357086,8.992144120670044,0.6606099635233783,5,282.2,64.42,500,462214,top500_full,residual,silu,batchnorm
texture_all_residual_mish_L12_d128_bn,0.5039860248565674,0.11617297587818921,3.9912493526935577,1.9228358697707302,9.033160691295306,0.5699061168992547,5,283.6,107.44000000000001,570,868230,texture_all,residual,mish,batchnorm
texture_all_residual_mish_L12_d256_bn,0.5023300647735596,0.1178497075304199,4.015109166502953,1.8359260648920557,9.253946658389621,0.4028539864515142,5,262.4,102.64000000000001,570,3309318,texture_all,residual,mish,batchnorm
texture_all_residual_silu_L6_d512_bn_lr0.0005,0.49971556663513184,0.0883341606943236,4.050853289663792,1.9180564856758044,9.230820170129931,0.5087887446742558,5,269.6,60.92,570,6603270,texture_all,residual,silu,batchnorm
texture_all_plain_silu_L5_d256_bn,0.4791168123483658,0.19213877042069605,3.766096942126751,1.8057890937236953,8.822303176103713,0.6808591918924896,5,281.6,37.04,570,413446,texture_all,plain,silu,batchnorm
top500_full_residual_mish_L12_d128_bn,0.46229692101478576,0.25543438458758455,3.700883872807026,1.7682364161382447,9.152702795560751,0.610044177412174,5,278.8,105.78,500,859270,top500_full,residual,mish,batchnorm
top500_full_residual_mish_L6_d128_bn,0.4570868233218789,0.2757658723585818,3.6332694813609123,1.828250093250142,9.00178778407437,0.6663173375238755,5,280.2,64.03999999999999,500,462214,top500_full,residual,mish,batchnorm
top500_full_residual_silu_L12_d128_bn,0.45427512731403114,0.2754811838884343,3.653809502720833,1.7621731430588612,9.101408181865654,0.7413529817042204,5,279.0,105.85999999999999,500,859270,top500_full,residual,silu,batchnorm
texture_all_residual_silu_L12_d256_nonorm,0.4441677272319794,0.1881106367215644,3.9100108668208122,1.8084872660002473,8.373246712494076,0.901933104041972,5,244.4,72.22,570,3302662,texture_all,residual,silu,none
top500_full_plain_relu_L5_d256_bn,0.4087116360664368,0.4158354697137254,3.5585434176027775,1.8110913039766225,8.322886941282473,1.2129861066336194,5,292.2,39.760000000000005,500,395526,top500_full,plain,relu,batchnorm
